Human Resources and Employee Management,Salary of Employees in Different Cities,USD,skewed,vertical
Glenhaven,Highvale,Brookfield,Ashford,Lakeview
67193,33305,47745,68093,37012
22348,88651,33575,22505,30927
41988,32714,33153,53221,34381
41600,81390,52106,41420,50320
67629,80014,51488,95798,25523
43735,73452,64880,60225,39226
41353,40439,36386,57993,48530
42177,49885,36715,45845,61529
65905,39853,69110,31507,78176
48108,41982,35573,59101,54173
52125,38477,90184,36193,65791
48592,43392,74366,54585,61184
42696,104082,42131,56605,45583
53065,31070,51433,36032,74872
57556,74934,25366,106837,33702
55266,68649,79694,80804,51668
53225,97228,44843,36980,57907
110226,47031,42411,60981,44862
32502,68619,71273,56485,40899
63612,31200,32782,89036,92437
67456,60150,61416,41456,92503
41379,79340,46062,45305,62701
71346,26887,39682,92957,32801
32766,106669,80080,41659,93684
79311,23358,63569,58967,41169
28976,36898,68748,72283,36343
51166,35202,32748,24814,51719
26279,56199,47569,38625,73223
39811,63532,38120,37078,32105
55090,63311,67716,47721,55111
35587,55288,53759,83147,56406
30927,33303,46941,68772,72584
32614,74385,49698,36487,48618
40352,61650,45632,34350,47809
48580,57528,45195,57913,47054
132459,103408,33299,22666,68573
28956,39241,65747,88435,45196
96507,57695,43900,44399,26606
25834,46179,76052,34780,52237
67767,28498,42028,95803,70752
84905,59005,46786,69150,50385
31717,42349,48953,99738,63842
54722,51737,30199,44020,42171
86518,83528,54086,56679,42491
68438,44832,59776,44186,36634
43178,87386,39020,34708,31790
88140,108385,40198,34168,54979
49158,54996,66885,60022,27943
42622,38105,37296,23946,46428
38363,79016,73618,45248,51465
34929,65025,46478,42668,79356
65712,49327,73101,61968,50502
42581,60492,37036,52588,62480
37835,41719,25714,107019,44240
32447,45962,40732,72011,49919
84249,51099,67362,81720,53773
42956,33907,48597,27033,43250
51435,40700,40547,54755,55432
47545,106559,62974,38627,72079
64183,73227,38507,67234,75647
44234,40255,26507,30743,57983
40332,36877,53736,51380,70962
23635,39117,43665,45674,47607
72508,44917,43319,58717,105008
61198,84923,80245,72244,46976
34071,34863,52961,29155,32161
69967,68156,57369,55638,42478
94769,70549,54394,28616,29046
31970,33535,64725,45326,42403
27340,52136,50259,109624,65025
43656,40193,31438,38597,34851
55235,59874,41582,39306,35707
64402,53357,78741,36397,41743
63044,90779,86106,46863,30764
46943,48669,94567,56330,61326
45431,38855,74756,55453,40188
49861,43773,31782,43595,34351
24499,29314,35580,51552,40009
35993,54610,87941,91562,39019
41966,69435,32839,41079,59290
34679,62294,47408,40352,49326
66979,92914,39035,61471,39510
34379,64899,56869,51219,32673
77127,47317,37525,60347,41032
24384,48962,85108,29324,45541
45445,32207,55896,80366,38699
43918,49469,47792,82064,80617
48266,51466,44994,47598,37369
34342,38991,59157,48950,75370
50995,46156,48913,28789,37742
43551,24505,45327,75099,33900
29192,49318,29632,55688,93703
67558,41017,71879,114860,26070
54726,39230,72028,44127,42481
46761,43160,62002,30482,36477
38877,47972,51836,41577,59650
43412,61202,31944,27316,29861
61479,69513,59993,88580,51761
86283,52754,57215,83248,35509
58547,99773,68165,40426,91048
36674,49941,30754,62698,38052
27076,49534,94967,66896,44009
42378,67257,69969,40679,32093
39326,102854,54906,72406,104521
49089,57855,41738,79369,55724
73499,78201,31906,69567,44097
55383,66541,44082,44348,55628
46260,32108,42959,43480,71657
33040,28855,41371,40782,41622
63852,76254,45534,83360,32205
95304,45541,41549,81255,87080
123674,49366,75252,110971,31876
76615,27122,30588,27361,35873
76128,33934,94332,46081,34828
46513,39869,45959,64723,46225
45744,68338,38278,17946,45035
45984,34410,68811,41446,32076
24277,71549,54980,43897,83190
