Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,normal,vertical
Rainbow Gorge,Sunset Cliff,Moon Cavern
5267,2979,6696
7406,10795,6745
7863,11752,5691
11270,8265,7338
9544,10891,5500
11367,6494,7494
10960,6108,10213
5407,11533,10279
6349,11431,5845
1558,10511,3820
2524,10543,5273
8876,9752,8696
14496,9302,5196
11291,10546,9054
5231,7328,6700
4743,12356,8139
8354,8838,2954
8360,13026,5109
9342,11365,6168
6290,6595,8972
4308,8835,9754
5552,9372,12310
2910,7832,9863
1129,4246,5038
7263,6094,9094
7200,4946,8642
4566,6081,8360
4131,2431,7961
14825,5775,7464
4291,8360,3879
6631,6175,4181
9521,6859,6196
5988,7720,8269
16927,6728,8258
5507,13129,17843
7582,5460,10252
15070,3802,3508
8960,13912,5918
1968,11774,6067
2198,6990,11758
9570,10337,9182
11891,4817,4911
9005,14571,6247
11025,5285,9896
3713,9185,10489
11413,2636,13332
4717,9983,2716
8073,9436,5368
6075,11344,11132
11973,8905,3446
11951,7754,9183
11583,11137,6663
7441,8216,5275
5282,10592,3227
1607,11734,7350
7109,10919,3558
2822,8900,9338
4365,6325,7539
6895,11137,6422
4477,8512,10817
2683,6086,6785
7360,490,7020
10829,11500,11395
4781,8330,15068
8898,8089,4777
8179,6682,12152
6813,10608,9887
7482,12481,6429
7440,4672,10492
1143,11142,7815
6548,6727,7160
9887,7875,6710
6972,5190,15198
6375,12044,5325
8117,6046,9272
6956,5976,9202
2208,5923,5093
9749,10204,8630
4841,8196,9656
2885,10052,7331
4498,13121,4535
9688,11040,6111
4467,8716,1434
6853,8379,9856
8752,5819,11026
11621,5769,13628
5701,12806,2471
3833,12477,7987
9901,7521,10970
6307,6555,8529
9688,6130,5024
9978,4771,14278
5727,7408,7894
3344,11933,1800
13096,12266,7937
10662,4686,10460
2971,6685,8439
1830,11713,5027
8137,12681,7225
4912,9694,6631
9513,7330,10246
5356,3729,3320
7515,4562,9432
9293,2464,6753
10095,11466,8472
4243,5944,7761
3172,7944,7932
5647,10120,6476
8656,9946,8032
9216,17830,9007
11628,5678,10174
5813,4702,8231
10711,4631,5306
8395,8560,4131
2459,5997,7359
9808,12559,10426
5443,5220,5524
