Human Resources and Employee Management,Salary of Employees in Different Cities,USD,skewed,vertical
Creston,Glenhaven,Dunvale,Rosewood,Fairmont,Highvale
68433,69691,35236,49890,73225,28867
50470,63088,32819,75658,61947,63110
48263,63070,19462,28237,80069,33126
79460,36157,50012,32427,42153,87148
55023,45138,75360,61363,70106,37352
49108,41049,27397,70231,25517,38723
28882,74508,42304,44317,47300,69311
40056,67304,51182,50420,65804,71492
21107,28296,35643,32147,104353,55987
67999,27960,18228,48247,36702,98580
50192,50797,37809,34261,96661,74397
37491,44954,58115,36417,90098,69385
29821,58152,51551,85632,117659,77354
48628,47322,53422,66071,53093,36509
25084,42774,63114,67376,27355,45694
51725,32482,37126,40010,49783,29480
46486,32330,64431,39284,60335,68809
25519,26632,27529,26504,56837,65789
38802,40744,46402,46314,29195,71018
37271,34740,29346,84493,78662,49381
77552,84593,83134,32431,70655,33016
32246,77014,28214,70570,84955,57074
37034,49717,44228,42054,130495,42169
42160,61748,48337,38778,95332,49058
35269,24728,75920,45336,76850,40060
33607,81366,47550,48109,39887,38028
50921,26289,52872,60821,66820,49777
53200,39547,40291,75233,63585,44893
39822,68453,35652,79277,87748,29997
51716,32546,43513,40732,68123,50889
22514,31550,34335,31142,68977,84767
35745,35394,80222,57158,101742,45218
38008,52883,26056,36899,62867,38699
41340,75316,19669,44937,63025,78175
39811,90371,43606,36159,85663,48054
48002,67973,41811,37919,51027,91130
87898,73075,44164,56571,33028,57232
67323,53034,88330,65438,71020,44751
45262,48577,23294,65873,113370,82705
19945,30151,25022,35740,133802,52263
58153,36285,67986,53814,70458,44041
47556,52911,30448,54821,68058,39422
37647,37188,24322,53474,25782,36240
26262,65553,77688,63209,60761,33775
54867,39721,29256,27969,55653,32374
32547,29388,48288,61806,61932,71443
26826,37387,75751,45376,87673,21036
37927,44824,76848,60468,47521,46076
54630,49351,53420,30847,75114,50975
78500,33381,54933,42231,93012,28588
29130,35918,40990,85349,66621,46865
43178,22808,43677,71326,55569,30203
46095,34440,53157,50384,110779,65396
61247,56884,68128,38601,35342,95306
37865,32175,61316,46253,97207,42664
27578,66695,49882,54173,49465,56012
67441,30963,39600,64615,63075,90066
34627,32392,49911,75877,92600,98775
27630,38480,45193,75475,111328,76949
60361,86412,28005,51685,74858,59119
22328,66134,33008,74925,59785,130225
51628,40693,37868,33016,117490,84507
30100,38877,76366,43037,63010,52862
62663,42153,58330,33267,42307,65127
67434,62648,38692,50426,71338,21391
56596,74010,18256,47251,86601,93189
34399,33825,84354,28279,65707,67993
47486,28485,27737,38201,126455,36112
34239,73430,43451,37035,52362,70956
39673,64518,26211,49094,70176,26791
46179,36280,68453,64071,48711,76215
62594,63684,36889,63361,43721,30230
37822,32240,63959,72894,111593,23581
41642,42588,34947,67640,58146,60868
29563,47036,52011,98624,51467,68652
41674,94765,24193,39518,67888,46252
45249,60127,35258,79993,54017,51458
55440,41494,29513,44481,79927,67960
40279,60681,27297,39858,50125,47659
46649,49302,63855,34060,90619,56909
39580,34478,30344,43657,78211,110801
21751,65672,43733,36071,89841,83964
55144,49490,32171,63560,82394,48788
57975,73778,40444,84413,43862,43101
34999,56167,35685,45631,79139,60553
26586,56479,39660,42077,52184,91770
36930,22173,38465,79479,53587,50246
32518,39239,65234,27215,49217,22508
48121,41140,29839,34564,59506,35878
45473,22249,29872,31385,34375,94899
64818,75844,47801,58541,81673,38067
40223,45403,33088,98114,50023,56668
33357,34406,61612,45916,68989,91020
50590,47442,26875,58977,140775,43609
35793,41835,55647,55143,91312,32677
33884,57005,24321,84147,70351,68016
28219,72299,42369,69401,99978,67363
46936,32158,34969,41886,85359,67098
26817,26025,41593,47577,36722,65109
66142,54589,38755,39926,79998,82423
31930,47107,30450,79420,89861,24716
28035,72368,50954,41209,77662,26861
45001,22714,45889,65062,146736,38644
43263,52336,31213,47014,83884,39681
60693,76985,64220,36349,96498,37537
33895,68058,27242,41815,24419,80652
50524,73688,42828,56767,121182,32488
73773,29813,39609,56636,58117,34413
61820,44238,29331,38497,47795,36658
71161,70791,29772,27166,68518,45307
41721,82170,34303,49949,50224,64431
27623,95962,41769,75138,88004,24414
39826,36080,33858,53878,108411,73732
35443,32721,26157,44715,57145,50350
37924,45621,36096,53472,73025,65357
48918,24729,55626,38419,94363,77222
35244,73858,51016,48593,45446,46473
45245,76021,34046,73874,46225,50208
