Energy and Utilities,Data on daily energy consumption accross cities,MWh,t,vertical
Pinehaven,Highvale,Elmhurst
3829,5722,3104
3964,5612,3293
3917,5923,2879
3650,6273,2757
3809,5261,3663
3621,5785,3394
3922,6121,3073
3635,5502,3274
3992,5468,3139
3085,6173,2616
3827,6437,2975
3729,5800,3011
3936,6422,2924
3754,6013,3413
3920,5596,3256
3637,5859,3128
3604,5650,3430
3578,5505,3228
3672,6085,3057
3969,5741,3560
3609,5742,2978
3628,5927,3508
3892,5895,3332
3107,6244,3421
4557,6071,2831
4237,5669,3223
3529,6287,3226
3241,5919,2855
3900,5780,3163
3944,5449,3171
3678,5755,3278
3604,5972,2703
3698,5764,3415
4146,5836,2560
3441,5858,3147
4063,5994,3352
3869,6077,3186
4182,5669,2847
3595,5764,3316
4037,5880,2773
4094,6230,3177
3998,5448,3220
4147,6092,3425
3714,5701,3890
3857,6111,3185
3812,5795,3382
3827,5940,3075
3656,5604,3237
3700,5936,3138
4027,5705,3413
3891,5832,2870
3815,5625,3223
3559,5963,3089
3716,5380,2865
4114,5296,2430
3580,5638,3300
3504,5415,3131
3980,5625,3031
3756,5909,3286
3689,5710,3210
3544,5507,2580
3793,5317,3369
3984,5829,3076
4168,6038,2614
3635,5537,3180
3511,5920,2892
3638,6016,3253
3851,5541,3174
3345,5890,3268
3801,5055,3334
3766,5989,3461
3665,5867,3326
3776,6346,3072
3845,5784,2881
3640,5920,3231
3884,5412,3262
3888,6161,3451
3496,5867,3189
3814,5848,2926
3597,5785,2614
3841,5635,2940
4124,5711,3024
4245,5245,3839
3604,5908,3778
3990,5916,3337
3489,5968,3215
3862,5511,3017
3801,5295,3762
3640,5716,3031
3943,5745,3377
3591,5604,3517
3897,5596,3036
3525,5480,3048
3879,6100,2963
3806,5571,2985
3948,5659,3245
3727,5639,3106
3345,6205,2830
3664,6095,3744
3682,5816,3430
3872,5559,2938
3786,5852,3336
3773,5990,3341
3880,5449,3462
3747,5590,3697
3888,5447,3119
3726,5315,3184
3496,5729,3103
3778,5732,3077
4256,5918,3307
4011,5867,3567
3822,5520,3053
3176,5313,3020
3847,5652,3039
3788,5961,3128
3483,5503,3271
3959,6152,3669
3960,5795,3567
