Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,t,vertical
Streamo,MoviQ
24327,6220
24634,12003
24168,6576
21543,10647
24015,8434
22762,10699
23162,6345
22040,13561
22471,16298
25619,13880
23407,16446
23140,13639
24993,7868
25840,16745
25525,6873
23852,15164
23526,16418
25257,7559
23453,17357
20460,13213
21992,10892
27115,10582
25960,13821
25147,11488
23596,3206
23925,9806
25196,6701
22082,7130
21538,7984
22357,9916
23379,6169
24268,7830
23363,9319
22395,10282
23717,10548
24307,5712
25292,11675
23191,8540
23538,9656
20014,10273
23682,7886
24025,16012
23349,9487
22157,8673
24235,11671
25781,11372
24572,5360
24949,13276
22644,14674
22292,12546
22716,4829
23798,7451
22707,10723
22073,5983
24067,7114
22531,6150
23632,4380
23710,9289
23785,10694
23261,8444
25746,9508
24748,12613
23136,12928
22922,9306
23623,13970
23884,6291
22257,775
22465,8027
24449,12393
24250,6391
23550,6889
24295,13325
25388,8466
22061,10907
22187,10106
22743,13382
24966,19503
23664,5895
22963,8765
22357,9962
25329,6976
23406,5511
22644,4443
23930,8141
24076,12496
23427,14552
22568,15495
22532,12155
24994,428
22789,18412
23181,11490
23470,6108
24845,14206
24560,5561
25303,10524
16852,8570
20588,4833
14972,11925
25280,3587
22043,5878
23362,6885
24980,10195
23142,15073
22616,9366
22783,10398
22051,2636
23469,7085
22883,11109
23868,6484
25093,10998
22290,9358
24163,265
23139,13115
25378,6810
23577,7615
23452,8687
