Education and Academics,Data on employment rates in different schools,%,normal,vertical
Glenhaven Academy,Redwood Prep,Sunnyvale Prep,Springfield School,Eastwood Prep,Oakridge College
92.31,85.5,82.07,73.88,84.0,90.22
91.42,87.98,85.7,82.1,85.99,81.89
85.65,87.08,85.75,84.71,85.56,92.76
81.94,86.45,77.29,78.0,77.18,86.18
86.96,84.21,80.21,81.59,89.13,86.28
83.5,90.56,82.46,82.55,63.59,91.86
86.85,86.31,85.02,81.71,79.33,86.23
85.93,90.69,80.77,85.86,93.69,83.34
79.46,92.08,76.69,78.68,87.46,88.23
86.09,90.55,74.62,84.47,80.37,85.78
87.56,87.56,80.83,80.03,74.35,71.76
91.88,86.88,88.02,80.09,84.36,86.96
86.79,87.11,81.51,85.45,83.41,88.89
83.48,87.16,79.26,79.92,83.97,87.55
90.2,91.13,88.85,82.09,79.37,77.09
80.24,99.95,79.36,83.43,76.28,79.99
81.52,85.2,83.08,81.97,86.88,89.71
92.57,91.48,83.29,76.73,81.87,82.08
86.83,82.1,76.97,81.57,102.27,90.32
85.76,92.33,76.13,75.3,95.4,92.29
83.03,89.37,84.41,82.11,91.92,81.58
93.59,85.86,85.21,81.91,81.1,87.36
91.14,95.33,86.1,87.0,91.35,93.74
88.24,90.39,80.51,77.31,78.52,87.21
93.79,90.71,78.21,85.68,75.95,85.87
89.51,83.73,78.09,77.02,79.85,83.15
90.92,86.05,88.52,70.57,84.82,87.07
85.21,82.92,78.1,81.06,92.56,82.39
90.62,87.73,81.43,81.09,87.82,86.45
87.89,88.93,82.52,83.91,89.32,86.13
83.89,88.76,73.59,74.24,94.52,92.11
93.54,88.09,84.58,83.03,87.84,85.92
83.91,85.08,77.66,68.54,88.68,86.81
83.13,91.48,80.2,80.08,70.38,84.77
85.38,83.0,89.58,84.04,84.6,81.01
88.2,86.6,82.52,94.62,82.74,87.15
78.48,84.25,79.64,73.81,77.1,88.15
84.82,90.77,83.05,80.78,78.14,82.23
84.92,91.75,86.85,83.23,74.81,84.72
91.26,84.87,90.86,86.59,90.76,80.52
84.6,89.6,83.87,76.8,82.71,81.45
88.31,84.74,81.96,86.94,79.41,86.84
85.1,89.3,79.06,74.4,77.36,94.08
83.86,86.95,79.93,81.6,85.47,90.23
83.26,86.59,80.26,88.01,89.83,80.65
86.04,87.76,79.07,73.54,83.54,81.37
91.6,83.91,84.91,77.01,73.78,83.74
90.42,87.38,71.86,81.74,90.75,87.21
86.32,89.54,87.01,83.84,81.96,90.77
83.45,92.33,81.43,87.92,84.32,90.8
86.0,85.58,81.44,85.93,87.72,85.18
86.04,87.02,80.23,75.01,71.38,82.62
80.46,97.17,83.44,82.07,89.14,88.74
86.12,85.31,80.83,82.97,75.62,86.14
90.49,85.71,78.69,90.29,85.16,88.84
82.31,82.33,87.92,84.13,79.7,84.4
76.66,93.8,79.51,82.33,85.07,79.52
85.37,95.56,80.38,73.0,75.36,81.78
90.14,78.27,84.63,85.99,75.33,86.2
87.26,93.35,82.67,67.86,72.93,91.09
91.13,91.39,80.89,72.1,79.81,91.24
90.23,86.55,79.23,92.02,85.64,88.54
87.22,87.99,78.81,80.03,83.32,88.76
86.74,98.96,87.3,82.67,79.14,92.23
79.31,83.86,80.83,84.58,77.74,99.28
84.54,93.89,81.08,81.08,86.57,89.52
85.1,95.24,78.39,80.75,68.13,88.59
86.81,89.91,78.66,84.59,87.64,86.45
90.49,95.04,83.76,82.08,75.6,83.04
88.12,94.94,81.48,93.51,98.54,86.52
87.26,90.65,81.11,87.52,86.9,74.07
84.05,92.74,80.58,67.69,80.33,93.02
84.7,84.17,78.26,82.67,82.97,82.59
91.17,91.8,90.06,91.55,93.62,81.98
91.59,84.59,85.28,82.04,90.5,92.14
80.88,90.62,87.13,77.25,64.05,85.22
82.13,88.92,82.43,69.32,80.51,91.87
89.24,85.82,80.07,86.21,84.57,88.57
90.47,83.27,80.49,84.67,79.92,91.61
92.37,93.6,77.87,80.44,83.62,86.05
85.3,86.6,91.98,84.26,90.54,88.23
87.42,87.41,84.76,83.45,82.77,89.06
85.85,86.88,85.67,74.25,86.71,85.47
89.1,85.23,82.38,82.42,90.78,85.9
91.12,89.02,85.1,75.27,86.54,76.58
84.17,91.36,78.38,81.2,80.33,87.14
86.76,86.74,86.03,75.11,88.51,89.59
83.56,82.01,79.75,84.9,86.25,80.29
87.06,85.92,85.74,79.13,95.3,81.92
93.06,77.8,86.2,88.1,78.68,83.57
90.16,83.81,79.3,83.21,78.77,80.85
88.56,88.97,81.37,72.35,87.46,85.79
83.21,86.46,84.4,82.76,76.79,95.41
86.77,94.17,82.46,86.14,83.03,95.86
93.93,95.47,76.83,80.46,86.26,90.99
90.19,90.81,76.97,81.01,86.36,89.3
93.18,86.08,82.53,81.99,77.59,80.77
89.67,85.91,79.12,69.47,75.01,81.74
90.8,85.61,79.21,80.09,84.36,84.29
90.22,85.04,76.89,82.8,84.82,76.3
89.31,83.86,81.2,88.07,85.14,81.5
85.26,85.2,82.93,91.89,71.08,87.41
90.15,96.9,83.99,82.87,79.94,87.53
92.08,88.77,78.89,85.01,79.83,84.95
83.06,94.65,80.36,88.02,85.68,89.97
83.43,85.1,83.48,80.32,77.77,85.27
89.24,90.98,81.95,91.42,81.26,83.57
85.25,92.95,82.1,86.33,81.53,91.91
86.48,88.84,82.0,75.74,75.32,82.6
84.89,92.47,83.39,77.1,80.24,86.45
88.69,89.61,86.75,80.85,83.16,91.27
81.99,86.98,81.27,89.58,81.11,81.62
82.21,89.0,78.51,87.79,88.56,88.86
87.15,89.73,91.3,86.78,73.45,82.82
83.04,82.59,79.03,84.26,92.05,89.44
90.03,88.48,82.02,97.13,91.97,82.91
82.41,89.08,84.61,81.12,77.94,80.42
82.43,89.5,85.74,79.67,86.54,91.22
89.86,84.67,86.92,81.99,93.27,85.11
84.0,93.55,81.96,73.4,79.58,88.72
