Energy and Utilities,Data on daily energy consumption accross cities,MWh,normal,vertical
Elmhurst,Oakridge,Rosewood
4639,2570,3067
4123,2708,3315
4315,1970,2842
4741,1713,2996
5001,2520,2653
3941,2778,2797
4321,2360,2814
4264,2310,3802
5048,2199,3125
5166,1741,3758
4123,2623,3406
4619,2263,3851
4419,1800,3066
4999,2238,3310
4085,2221,3445
4058,2655,2647
4910,2649,3772
4466,2196,3146
5023,1855,3062
4220,1546,3398
3756,1845,3395
5465,1600,1883
4920,2122,2806
5485,2381,2593
5056,2245,2754
4817,2298,3626
4165,2395,2617
4034,2552,2416
4417,2118,3814
4407,2653,2869
5165,2232,3299
4867,1924,2748
4668,1984,2794
5140,2010,3939
4859,2032,3295
4231,2623,3921
5577,2456,3209
5155,2052,3363
4980,1936,2812
4471,2063,2988
4002,2207,3773
4251,2264,3332
4193,2098,3401
4694,1940,3451
4847,2040,2975
5203,2740,3575
4062,2279,3232
3770,1899,2540
4869,2710,3306
5013,2954,3249
4900,2098,3130
4493,1730,3556
5445,2545,3687
4656,2804,3784
4770,1962,2666
4453,1969,3185
5263,2507,2692
4664,2924,3295
4675,1695,3228
5499,2286,3421
4789,1821,3530
5023,2935,3865
3854,2029,3534
4847,2720,3270
4814,1573,4141
3879,1912,3750
4522,2416,3765
5436,2413,3247
4335,1724,2928
5354,2526,3501
4754,2439,3719
4723,2397,3865
4469,1591,3013
4768,2038,3843
4990,2471,3334
4356,2054,3491
4057,2886,3535
4203,2273,3917
5237,1559,3009
4976,1653,3070
4071,1989,2712
4764,2458,3313
4475,2095,3653
5136,2564,3092
4911,1784,3294
4779,2112,3657
4862,1685,2918
4716,2704,3070
5407,2421,3588
4672,2396,3936
4507,1956,3429
4873,1865,3521
4708,2756,3217
5120,1390,2910
5048,1960,2690
4949,2585,3629
4383,2320,3694
4083,2398,3677
4541,2184,2792
4533,2308,2953
4211,2891,2541
5510,2598,2636
4793,2055,3204
3949,1647,3690
5329,2439,2794
4686,2335,3523
3940,2328,3687
4076,2481,3253
5008,2509,2578
4695,2107,2478
3563,2477,2834
4975,1871,2795
5492,2749,3096
4749,2146,2809
5056,2419,3237
4653,2643,3006
4959,2314,2538
4441,2510,3832
