Transportation and Logistics,Data on the volume of fruit transportation in cities,tons,t,vertical
Ironwood,Mapleton,Fairmont,Ashford,Westport
21220,65850,43540,52706,61983
47821,56484,48761,48983,51995
74907,47465,42665,52968,53517
32319,77075,39894,39054,51207
50191,50933,48575,42573,56399
56401,53249,43517,36682,61818
49572,43038,42661,39912,61588
51952,65470,52573,44235,49446
45629,50096,36128,56580,51618
49929,41455,40923,40477,47562
57721,51659,53878,48352,40938
64269,55855,42654,56147,48409
55467,57989,50151,40370,48910
53728,48586,37913,40423,75678
51428,61443,52407,29716,71204
54136,58307,36190,29228,45386
33254,49804,40404,50817,68059
68476,41681,38498,42815,52168
78037,30483,53691,42642,48333
44364,45907,45857,50247,53013
50409,45371,52929,37098,50252
52274,47603,41235,51787,41298
40559,40927,52564,27140,34216
64524,64385,61011,39978,86921
56598,44700,40018,38289,39672
47971,45389,60051,41772,38047
54283,55884,48804,55431,88431
47032,48732,38240,50638,50097
28301,45479,35629,47110,39679
54001,47972,48517,43066,66186
53106,47931,80834,51090,52742
45865,53970,37515,51468,73535
62069,69056,50756,40571,61608
38613,58877,33763,47826,57086
48778,53787,48979,49129,30389
65167,45102,49071,38046,71630
44932,55825,43501,55174,64270
54780,59912,46490,48182,46640
61347,45781,61420,47731,50965
29595,48373,46979,52862,43906
40185,59361,36373,58363,43720
57226,53488,49014,43357,40584
34199,54372,44516,48178,61801
31204,55226,42055,44167,55794
30951,63108,55513,38603,29566
53677,50116,47618,56818,71929
56021,53626,49778,46062,52537
45988,39638,38671,56189,70212
42537,46705,46566,43398,51276
54630,50587,42906,47079,59578
76030,52119,48158,42984,61051
52267,76281,37642,53857,44858
29961,50172,42148,31228,55879
62949,60674,35574,38980,50622
55526,54135,40813,53726,58930
57377,57767,46424,60163,69361
45437,52098,44501,52600,72812
55118,50824,41748,48089,59890
24769,64036,37507,45850,74745
63626,43006,41971,38663,54935
52709,59471,38220,46781,53512
43845,58817,40484,44856,43148
45843,64978,42675,42432,66665
64585,75596,51563,48367,35578
59397,42395,38601,40836,48608
27463,53720,53911,45403,62229
69442,61192,43588,50756,30914
50823,55074,30624,45526,61617
64654,49237,44539,44764,49741
62978,82891,52758,37601,61335
47666,63999,44337,50482,40035
48865,54971,53642,43717,46928
63718,69876,46167,38986,29273
39568,38199,46544,47251,48180
47893,60041,51961,43702,55482
56929,58440,49122,26056,54451
50534,45113,43627,22559,35514
46833,54502,49007,47535,34472
58941,67144,42148,44676,55432
70677,54556,43253,67125,52208
64888,25935,39455,43446,56371
73545,58526,48292,41702,62378
50304,63474,48753,62408,39400
60067,55076,38275,52316,64128
68647,39316,53003,53167,48105
45259,44889,49777,48104,51454
52270,58927,43802,35517,30688
47277,51175,42788,42543,57028
66833,56186,44653,40047,51400
49750,46086,44514,34589,43059
54183,62109,40775,50069,64322
43863,48214,43331,42533,44051
52765,59637,54350,33860,74436
45229,53273,38856,37851,49935
47421,58532,68120,36167,43311
26951,53644,43807,49794,51699
50937,74060,45810,40528,39737
45760,68970,51626,34942,62640
46409,65767,36353,41862,41494
62421,45520,46997,65361,47336
58221,48062,35356,43417,62337
51208,45564,48176,41492,54039
57289,56088,53687,46540,52996
53992,66526,35339,55333,43151
61007,40946,48077,45664,69029
68519,55947,51378,33478,51008
48884,38062,39392,55335,37551
48904,37639,38145,46875,59940
32952,61821,30977,47684,53669
51453,51407,43615,43225,54759
31795,47798,53248,39545,41741
61254,42925,48254,41772,52834
33195,62304,33749,34582,47668
62450,51018,43382,46709,53242
52204,68028,44184,37406,53893
63674,68791,50158,47403,42901
53342,30653,57449,44993,55540
59704,54928,31801,43451,56703
77304,36401,38185,39086,55677
69346,56495,57472,44919,61190
