Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,skewed,horizontal
Elmhurst,Creston,Springfield
1002,1008,994
1192,1113,1027
1016,1227,946
918,1579,859
1825,1177,793
939,1225,1320
972,1472,1426
1210,1043,962
1085,896,1238
1399,1194,1049
917,946,1096
1757,1109,947
946,1095,953
1447,1307,768
1124,1357,1453
1151,1037,1054
951,1399,1384
1726,1508,865
1552,1099,777
1273,1195,1136
1818,1815,1028
922,1319,870
1022,1253,976
1147,1250,1007
1016,1186,1467
1351,1236,970
1004,917,1011
1244,1067,776
1279,785,1237
1385,949,930
1122,969,909
1044,1502,1180
1840,908,1350
1229,1340,1023
1373,964,877
886,1206,887
1121,1081,892
1091,1295,1405
1142,1338,1379
1161,1187,882
1207,1561,1058
1033,1288,1009
1209,946,866
902,832,1148
957,934,1059
1690,1475,948
1124,905,1227
970,1062,1070
1187,959,1231
1277,1886,1246
1502,1976,871
1605,1708,1499
1112,961,990
1633,1232,799
1159,1202,1085
1173,1370,1539
2029,999,1066
1062,937,1197
1555,823,1375
1907,1486,1130
1503,1203,1060
1251,889,1321
964,1426,1366
1198,989,937
930,1323,1233
1321,871,1000
1802,1225,907
1054,988,1275
1168,1100,800
1168,918,869
1768,1137,1235
1869,994,899
1126,1033,760
1625,1320,854
1271,904,1051
1137,1082,1059
1447,1403,832
1165,1296,1071
984,1127,1594
1321,1023,1159
1159,995,873
1344,1192,1167
1506,937,1180
1157,1205,1080
1069,1080,806
1320,1158,771
888,1196,766
1042,961,1179
1015,873,891
1078,913,1155
1019,1009,1174
1161,1394,1107
1428,1382,825
1329,1216,1134
1002,947,766
1071,1191,901
1014,1111,1119
1092,877,888
1246,975,910
1116,1235,1084
1006,1148,872
1225,1374,1722
1780,1146,1486
1433,1146,1093
1022,945,987
1320,913,941
1282,1437,1061
1844,883,1038
1083,1530,1527
1026,1172,948
1764,1080,910
1028,1288,929
1748,1136,1187
1279,965,1241
1338,1079,1599
1539,939,744
1304,980,853
1126,854,809
