Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,skewed,vertical
Yorkton,Dunvale,Ironwood,Highvale,Creston,Oakridge
1631,938,1180,1351,952,1058
1035,909,1138,1498,1577,1261
792,1081,940,1350,1384,1021
804,976,1081,1474,1259,1312
1329,1047,996,1045,1014,1070
838,902,1338,1136,1354,975
870,988,900,963,1263,1016
1545,971,806,883,1758,1448
1212,1381,853,1005,1093,1264
939,1081,1057,1190,1143,1223
1198,1090,824,1157,1516,2038
973,911,1082,1089,1143,1322
942,1194,1041,1443,1139,1079
948,886,978,1473,1532,1365
937,1279,1197,1374,1725,1111
1509,1052,994,1170,1480,947
988,1169,1230,1420,1132,1186
1086,870,1063,924,963,1206
1065,1349,1066,886,1630,1082
1019,1718,1160,1203,1506,1060
1082,1061,893,986,2020,1193
1367,1007,1098,1242,1408,1318
862,1361,903,997,1605,1855
1437,1378,941,1259,1455,1356
1210,1383,1076,1357,1449,1640
874,1159,850,914,1057,932
933,1399,941,1546,1673,1248
1007,974,1043,1038,1927,1499
825,1187,957,905,1278,1178
1021,911,1223,1224,2086,1346
1050,1034,1162,1153,1572,1255
808,985,1529,1434,1466,1508
1045,908,1253,1397,1136,1057
1279,1028,934,1054,1024,1404
742,874,907,1073,1726,1919
957,1041,985,1679,1658,1307
971,1139,1027,1275,1243,1063
852,993,1944,958,1263,1180
1184,1363,1572,1328,1098,1486
1070,1035,1241,1177,1058,1279
2207,1224,1135,1297,1547,937
947,952,1205,851,1786,1797
834,1308,1516,1237,963,2136
1171,1097,905,1382,1219,1139
935,1110,1078,1177,1118,1662
1124,1180,969,1628,1740,1277
1247,1005,1342,1088,1786,1487
975,885,1296,1094,1308,1153
886,1289,970,1015,1268,949
1093,1894,947,1229,1358,999
942,1286,1147,1105,1184,1752
1071,903,1374,1225,978,1336
1877,1047,1544,1099,1944,1082
710,1361,1259,1069,1132,1462
868,902,1309,1371,1858,1328
1891,1449,2001,1154,1149,1560
988,1134,1098,1432,1038,1662
998,1074,1087,1180,1549,1498
774,1049,1105,1386,1134,1584
1143,908,2086,873,1235,1268
885,950,1780,1321,1646,2223
1149,993,1336,1261,1275,1754
1196,824,904,1089,1281,1196
1247,833,1108,1314,1058,1967
1374,1057,1052,1248,1444,1614
761,1262,916,1344,2027,1083
766,1197,870,1311,1474,1095
2166,1500,1216,1153,956,1460
1151,1511,1027,1131,1299,1277
944,898,1573,956,1356,1228
807,995,1157,1117,1020,1414
900,1087,2002,1265,916,1367
930,874,1265,975,1391,1017
938,964,1288,1091,1613,1260
965,985,1166,1050,1132,1032
1177,1202,1306,1445,1196,1482
913,877,940,1060,1577,1072
1101,920,1182,1158,1286,1321
1451,914,935,1184,1422,1068
1223,996,1332,1082,1234,1201
1294,1279,923,1356,1215,1439
740,933,998,970,1067,1246
984,874,1320,1229,1014,993
1197,1074,1398,1087,1114,1321
1001,1110,1094,971,1541,1015
831,1144,966,1214,1035,1305
1154,1906,1060,1109,1940,1960
913,1017,931,1005,973,1298
1152,1525,1643,1116,1417,1206
1246,1134,1536,920,2059,973
876,995,1404,1354,1250,1951
1427,1311,1103,1167,1221,1681
968,1721,876,1121,1097,1750
1112,921,1399,1208,1163,1063
968,1087,1132,959,1759,1062
974,1442,1224,1160,922,1142
1116,832,1208,1211,2083,1941
922,960,1134,868,1515,1914
1154,1200,1012,1082,1094,1171
986,895,827,1355,1048,993
1318,962,1495,1119,1350,1047
884,933,835,925,1392,1232
1128,1045,1558,1240,1804,1916
1065,1376,2034,1269,1598,1285
1080,1239,980,1115,1128,1654
998,907,1529,1260,1888,1120
1035,1121,1137,934,1015,1291
1435,1455,1187,892,2108,1250
1044,969,894,878,1375,1317
1020,896,1181,979,2022,1763
941,1127,982,1224,1543,1483
770,858,1274,1092,1908,1238
1203,889,925,1592,1221,1201
1362,898,932,1064,1085,1035
927,859,884,1559,1133,1041
738,865,1018,984,1251,1057
1331,1120,924,1219,1689,1299
1001,1201,1068,1069,1177,2296
