Science and Engineering,Research and Development Investment by Country,million USD,normal,vertical
Lakeview,Northgate
463,772
622,468
545,498
713,552
696,752
568,550
321,602
287,880
891,671
779,548
861,447
690,333
539,954
462,533
870,246
598,627
500,689
636,655
637,482
749,745
633,593
380,537
639,987
611,857
775,698
617,537
175,375
489,827
673,342
725,722
548,764
461,568
718,719
394,685
448,667
761,126
992,314
833,472
610,664
743,937
436,557
478,518
747,925
354,489
1097,167
540,649
488,402
253,279
391,461
400,633
741,629
915,674
180,363
792,314
769,532
308,911
720,660
352,331
683,562
533,373
629,632
516,923
559,452
698,430
409,711
830,261
624,410
375,931
553,579
755,386
770,274
725,797
342,576
509,419
644,825
847,478
522,720
230,172
293,167
703,606
698,553
551,890
817,373
566,434
468,752
653,232
804,760
335,505
531,842
891,922
678,741
322,851
819,711
768,504
747,419
771,666
324,420
608,883
809,589
679,440
974,787
391,708
531,804
789,556
405,462
751,570
763,292
170,701
857,430
668,585
549,559
702,683
908,522
935,954
37,882
686,785
624,67
673,449
