Human Resources and Employee Management,Salary of Employees in Different Cities,USD,normal,horizontal
Quarryville,Northgate,Springfield,Elmhurst,Westport
40437,51552,56685,31039,51993
58532,40089,50961,43116,64487
56810,67691,61437,44600,64152
49252,62728,51416,34348,38480
58533,54859,64389,50470,56473
31127,59488,58979,50877,49937
59163,62039,48252,37401,41892
63374,55825,74099,42340,54060
64730,50708,78315,48987,51414
49328,38220,49356,48833,58567
44981,66952,68528,45120,50514
46993,68285,50856,29340,47579
50838,55339,55679,43046,58566
43090,56384,61602,44394,66973
55068,62288,54033,42259,51909
79822,58405,68377,22943,57057
57730,50616,69867,26565,56128
41460,71283,57920,34257,64075
48021,53452,68978,32846,43929
33084,67775,53538,54845,49749
33945,63472,41374,45951,45238
26207,46891,45864,37939,46356
25057,67881,69862,45507,38153
48027,64566,53616,43779,50856
36601,73150,46047,54319,36240
59960,47719,56106,33693,53538
27944,65069,63352,48700,42753
56554,55892,54902,50511,33486
54406,47260,58272,32305,51183
35799,37486,67003,53511,48172
57831,45661,63445,35734,55029
52044,60985,51865,55176,60717
49925,53902,65752,47840,49512
51481,55605,73228,56631,43621
37777,41053,74877,48028,48169
54004,51248,58492,40802,56105
52449,48040,53908,33733,61140
48456,55617,73048,46563,64366
35046,64874,80442,32435,51496
37775,67529,65240,39575,50524
34168,61121,59927,42564,44092
40640,50353,40851,34940,46132
52174,68205,48898,56947,51728
55199,60068,74245,33688,63402
63568,53165,49712,37298,48941
80148,62413,59114,42889,55959
56278,58750,65350,23528,61025
49650,53201,53048,52422,55860
55641,61522,66787,37138,29227
44527,62807,70398,31625,57839
45397,57267,47945,33052,36927
62758,46832,70268,49993,43116
31958,50872,56013,34752,42531
44005,66356,69830,15534,50744
51501,53238,61122,38203,60666
23248,34502,73004,47857,55288
37008,66882,54939,32511,36418
25599,39159,59269,52570,51734
37187,44275,65144,56529,55180
34137,50358,66356,39358,53775
43086,49693,71144,41930,44621
55166,55135,57213,52427,63578
25360,54023,64784,32574,36174
68511,50398,51087,29887,60395
34641,61576,66401,30670,43394
52688,59111,64600,49246,59432
24708,53605,70901,36838,49891
14928,53774,66923,32664,56251
52602,49338,51638,41449,43304
64063,61830,49786,41118,55556
50608,63093,51224,28626,58817
42451,54112,57862,45780,58053
68310,50652,63931,55287,68385
46736,36628,60430,28314,65201
36770,47897,35484,32602,28686
35135,67751,56466,36860,51380
52538,57714,58917,43838,49074
45100,37785,51438,38944,54383
54752,47021,70296,45505,36551
44894,69671,31531,48246,54021
43314,56211,57446,54348,42689
39631,62746,55571,36873,60148
56135,50100,58967,35864,42082
49432,57121,72682,54724,61388
53449,39665,67866,42828,41348
42472,60756,41882,54168,50058
28329,59497,49648,40752,63547
31436,55038,62562,47225,49246
42467,51622,54489,50187,51832
45496,71188,38532,44414,74359
35889,31167,57403,48192,33337
38115,71372,66166,44595,45666
64899,54738,62051,45096,44952
34987,52170,66896,39564,55774
80019,46146,68164,39932,57908
27693,46100,59850,41015,43491
45467,65352,56926,51409,45057
45515,59332,67035,38175,42538
50437,62744,65299,51968,67481
51517,58980,72921,46723,54304
49066,46189,79949,40748,52114
37624,56749,62279,57861,53260
40308,33900,53425,51269,44346
53444,49263,62046,51329,61216
56157,66473,35566,37317,50411
72685,51193,57663,38622,75287
78233,56329,66415,33443,60723
32606,46168,70102,38480,35751
58477,56556,62716,40984,63869
41868,55514,64188,32010,41735
50593,46351,52455,41435,56957
52618,52368,71075,47431,39544
57383,40670,48191,43161,34154
39129,64279,70092,46695,41742
55838,52321,70877,52122,56097
35818,62890,49494,41652,43721
59731,59835,47638,36832,43257
40468,70077,54023,45847,60720
