Retail and E-commerce,Daily sales statistics by product category,thousand USD,t,horizontal
Office Supplies,Garden,Beauty
84,236,325
205,220,358
262,273,313
290,226,328
200,215,263
284,212,98
192,250,432
203,169,315
301,316,347
199,250,507
197,204,299
305,324,235
220,214,331
235,289,333
205,309,326
192,249,271
186,191,351
250,195,277
254,335,362
211,235,413
266,313,336
206,270,446
262,189,269
211,302,218
259,120,355
205,53,309
202,258,361
273,277,299
241,311,263
190,240,357
291,213,345
236,388,277
132,272,350
306,182,203
248,264,205
217,120,237
205,293,207
235,394,396
186,171,325
247,323,230
277,113,223
225,298,185
273,256,183
239,261,261
213,193,315
241,287,289
239,170,349
286,256,241
244,376,385
220,222,148
237,175,333
204,336,125
274,201,405
222,306,319
177,303,353
14,436,373
259,214,359
259,239,427
248,312,285
251,251,354
164,369,279
133,259,138
231,250,218
230,336,324
275,138,164
284,245,271
234,424,85
175,296,424
204,277,351
260,214,356
304,321,264
159,266,388
223,253,226
168,179,361
218,191,312
281,283,287
177,113,231
238,241,347
301,321,566
206,76,340
280,287,261
148,298,382
201,286,398
217,182,389
142,230,475
222,316,258
236,287,323
140,287,272
215,223,310
211,262,319
168,339,395
265,310,281
277,256,366
240,356,348
232,262,80
210,266,200
263,275,468
273,366,109
148,447,250
237,271,178
261,153,366
218,258,168
270,233,414
192,318,371
218,122,109
179,296,241
245,293,370
89,244,262
165,310,291
309,311,270
268,298,363
174,456,337
214,210,310
307,202,255
198,394,378
187,246,440
260,340,274
