Human Resources and Employee Management,Salary of Employees in Different Cities,USD,normal,horizontal
Fairmont,Quarryville,Dunvale,Oakridge,Ashford,Zephyr
45226,74519,60939,50082,53817,74254
62193,34075,64130,51900,49231,80376
54817,55214,47581,44660,47602,63680
50392,31515,50019,57765,47538,63121
53291,48423,51554,30382,43376,78560
43109,58803,43717,40677,44696,43071
43155,52416,51736,35238,43026,49838
58597,59091,43980,35597,32756,55154
71124,51335,67660,36219,37671,56650
58424,30095,40662,33862,30904,79367
56538,55439,41471,46880,51201,59255
62955,45649,50929,59702,41139,72088
39270,51456,51775,32515,51959,61798
54920,32143,43879,44699,41493,76469
32319,39124,43426,49749,54482,55089
48518,47078,27486,27646,43827,77577
54964,65904,56575,54370,39989,58731
53844,53912,64920,48151,40785,51398
54330,49311,70161,56948,42709,56392
55294,49966,64672,52657,46395,72518
38102,51840,44784,33856,44222,58938
38495,52879,55155,42336,37609,51742
52087,37719,37434,49135,36793,61056
40452,46282,70984,32119,48647,67818
55667,29241,77329,61309,48186,63000
55905,49395,58553,38386,45897,62810
58355,46470,59381,49733,34849,62569
49793,58941,35710,45250,59352,70037
48668,38667,47036,60285,41192,50870
46249,64760,45008,31529,42782,60014
66555,65943,57896,49998,50723,74250
63595,17454,63049,59864,54919,66620
51658,43791,42946,44978,30354,73773
42707,64248,71245,38724,33743,50535
42941,43793,57435,40235,44074,73850
47620,46890,35141,27206,27942,57925
63869,27764,81025,55131,47636,73040
37636,64914,66447,41907,47512,80240
51893,34905,66009,45658,38148,83864
48999,38271,61141,43364,24999,66973
57822,30649,48651,38590,29887,65459
48778,50845,52433,37094,45314,80621
49866,47610,47255,63501,48876,82525
55824,46868,42026,45888,49786,59080
60027,41508,38299,52890,35673,72106
67391,25371,58489,67878,47859,71866
54580,18395,56397,39748,54368,65541
36476,51365,44656,41848,44281,60540
36767,36041,75969,55241,39296,56444
61778,49911,47775,47208,49427,76578
48617,52463,63606,41016,51354,62046
64342,51645,73001,46118,44362,58312
48990,35531,44434,37374,51773,82522
56141,71578,47872,54736,48423,56676
57232,68438,41431,40318,42956,66876
46802,52285,37874,50983,39031,63056
66205,55727,73283,33559,40181,57592
57607,47903,74808,49771,56577,53770
62288,19350,47333,39042,45485,64136
54989,39067,76831,43893,40846,67443
44439,50212,63644,52511,40138,72712
54245,63333,60080,39613,59335,79660
62155,22751,57365,48647,35523,74895
59610,48933,51359,53391,47101,53266
43048,49083,43855,54975,49240,61652
55963,36179,39976,51721,51171,51277
39090,49518,36102,29273,56176,61210
35816,36990,58435,51221,41441,75641
59484,51364,47677,55837,45316,72816
60685,37956,46699,68481,41953,57495
50408,38419,49001,28451,43297,60602
46979,48305,48416,53643,47881,73944
61382,40026,62035,38237,41416,62886
41512,42704,40234,61221,49969,60577
56640,31226,50634,33332,40023,80721
50946,64251,67829,58549,46806,58589
60720,46597,44032,30413,34747,79424
43596,69997,45965,57043,35169,79821
38323,16206,45061,11074,35931,75100
53383,41187,79174,36274,38085,74641
57440,24538,57692,51719,49193,57093
57530,22579,43367,70607,53421,54360
51784,37082,62255,35938,29208,59166
57298,47908,37980,42289,48619,56931
60040,58007,47674,38793,38780,79466
57278,48773,63848,42096,55821,69500
47535,20687,28566,51739,41555,59816
52471,42128,64870,38673,33747,54078
56823,58406,64750,52167,38893,58072
48019,62459,55714,50586,41268,64216
55839,47371,79222,21467,32297,60607
55651,54705,74950,69346,45837,64148
61399,53802,59051,65194,37894,70909
49079,54508,62068,34232,45816,69147
48549,44921,53287,28106,39742,47924
56026,52390,55660,54855,42421,73500
41997,53398,60226,49603,54313,56095
65828,59325,35098,61646,54396,56247
56504,21626,62952,49549,41235,58752
54204,53430,58420,63686,44895,65614
36178,52668,57121,45680,42531,61159
53551,50489,45167,37481,57734,63194
46516,43092,46620,48515,37370,63123
62609,24263,34808,35753,54169,53567
49641,56735,58332,64160,45586,58668
49944,64928,44924,36720,42738,66440
45684,37921,46353,38086,37194,59547
39405,36949,46457,63151,56719,69702
44304,25134,63640,37850,41700,51101
39910,39022,47665,45516,41141,66202
57216,53809,73787,60471,42721,42730
52379,57843,40599,56950,53536,71138
47388,57666,71139,33944,43226,69844
54059,54837,56580,43321,35526,60524
47962,21721,63167,46349,32154,67466
49334,48093,71281,53540,37828,61690
55224,42921,37916,30792,48300,61152
51471,63368,58994,50635,44169,63947
