Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,skewed,vertical
Beach House,Urban Loft,Loft,Cottage,Mansion,Condo,Townhouse
800,525,469,408,409,600,458
481,660,718,737,717,587,1511
623,772,817,1257,480,863,655
421,433,406,711,907,506,405
1059,699,903,893,704,636,344
416,476,419,565,508,557,508
608,637,320,1315,1259,594,552
618,354,636,844,533,764,411
1067,437,1280,457,469,995,702
969,531,411,598,856,391,559
1101,683,477,525,709,1493,432
548,583,971,810,1219,907,421
667,1196,531,554,1264,631,826
802,567,837,819,820,623,660
690,1036,498,353,549,447,1322
650,1118,802,687,384,593,660
472,1157,1047,626,684,461,678
482,389,477,490,726,545,1367
874,505,1099,448,925,453,568
577,1052,625,490,404,615,560
1076,732,340,579,534,358,535
654,337,1164,472,425,1517,732
450,578,558,426,643,860,538
542,400,471,783,1063,1504,474
580,798,905,424,793,797,607
803,804,621,548,1447,656,632
589,379,989,589,558,612,815
627,802,721,328,664,421,622
643,492,603,818,571,1345,556
910,693,799,589,1397,561,559
960,363,438,821,709,1020,752
1119,947,414,738,702,367,484
473,825,843,885,791,1078,370
386,356,724,334,930,454,859
679,813,384,351,575,432,662
674,839,383,882,760,796,560
547,1201,798,407,588,602,442
936,641,1138,396,1106,542,629
986,1211,477,518,565,415,427
912,676,546,666,410,599,956
1025,586,883,974,603,1106,600
678,528,1102,573,486,1004,868
536,1011,340,556,360,897,692
426,616,367,977,1502,783,1363
925,557,940,873,647,803,451
673,1041,758,614,587,593,479
947,443,403,751,876,437,906
558,594,447,962,1083,444,719
550,403,811,834,1313,688,365
635,317,552,598,421,441,494
402,739,572,553,671,869,558
623,779,998,401,794,420,441
524,954,1027,422,376,618,1139
652,600,419,560,621,563,599
644,473,491,933,444,524,635
687,752,851,629,555,485,389
556,546,350,950,1376,485,438
1190,591,693,1101,942,716,484
915,916,520,417,1195,454,560
680,630,547,397,1055,1044,378
738,468,821,844,1100,570,429
393,547,504,504,368,1230,701
392,977,1178,620,825,473,473
930,754,614,546,665,593,491
390,707,819,466,360,339,546
697,418,560,696,745,612,608
957,700,810,404,535,1070,585
1101,592,662,324,724,783,576
482,574,402,556,605,364,822
441,864,360,536,890,772,484
488,474,598,898,1425,754,647
506,514,640,492,420,703,731
789,579,446,474,530,875,829
715,674,780,438,378,610,578
578,383,448,1091,619,454,707
762,614,961,474,442,656,834
575,531,511,442,707,709,545
670,943,429,516,389,541,593
774,688,1177,825,1047,1157,661
675,666,570,605,378,455,590
490,385,750,486,598,713,784
636,411,859,396,634,463,672
449,872,309,1387,612,367,439
802,729,531,654,426,636,888
629,838,382,1408,407,560,437
405,958,311,850,1273,366,362
804,658,697,726,711,507,978
682,803,413,360,532,459,519
840,1078,1422,757,798,1249,927
649,425,879,403,542,429,708
492,906,1016,474,1171,602,412
721,621,1070,594,579,790,444
544,1305,355,378,1341,620,672
742,474,1029,853,456,407,660
732,779,429,525,1023,390,735
696,360,727,829,826,436,593
1045,422,544,352,870,615,658
1158,798,930,464,442,401,670
878,878,559,748,830,615,692
496,441,396,937,577,461,883
492,573,559,550,687,693,646
757,1039,764,440,469,626,444
907,583,424,612,1022,527,728
963,1258,575,556,455,850,593
409,838,543,736,762,1200,412
544,459,431,448,466,416,504
579,635,1023,581,461,526,877
1019,540,1029,430,915,1131,779
381,490,381,449,570,545,879
903,823,773,861,1359,642,615
720,965,685,992,436,557,586
442,367,616,423,753,599,732
485,440,455,1036,509,477,683
475,720,669,1029,888,548,858
622,702,413,667,645,565,786
728,634,865,931,448,600,622
374,650,369,786,493,513,473
663,460,650,555,1100,357,944
