Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,skewed,vertical
Zoomo,Showio
18870,11582
19812,7853
21507,13519
29411,14196
27818,4576
35366,6492
20968,5266
21006,6206
23373,8359
27703,3856
27646,7391
29498,7407
23528,6583
18570,10391
19777,8851
23347,15610
26363,8802
25118,8081
22371,11436
18630,23237
28921,24450
26398,9680
23010,11907
29898,14145
30383,6977
27992,4376
23275,6590
22465,8902
25515,3827
22085,18398
27555,15476
22626,10363
38909,8688
26022,10599
25967,19480
33711,9141
28848,12175
26318,9115
19212,8000
24490,15363
26914,9477
22746,21877
24744,17884
26504,12443
32206,6555
35308,12202
21120,10546
26621,5190
27058,13123
23533,13505
22612,9982
22077,10481
36941,9766
27315,9473
24351,10923
19378,7203
18527,11776
23467,7451
26068,19561
29772,7263
26760,6956
26574,4458
26379,8496
21999,3420
18782,6635
21676,11825
19925,17638
30583,9273
39851,7734
28474,7359
36371,13591
22760,12368
30361,11782
18187,5135
40978,7451
22448,12926
24096,11881
22514,7097
25619,14756
24790,13465
26700,7320
19194,11858
29165,12623
24840,18671
34349,5529
23563,4082
28051,4663
30575,7964
20910,4439
26578,15332
23571,10636
30251,14234
29398,23446
20083,5405
18850,9344
21882,9200
23514,16175
21237,4628
19026,5727
17565,9329
29308,6724
26157,6218
22072,5540
22227,8572
19107,10059
25716,14263
21239,14996
20841,8931
24684,16358
36925,9051
24567,5393
24513,6898
29465,20237
32749,7364
37856,4108
28159,6103
21101,10025
29257,15187
