Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,skewed,vertical
Sorghum,Tea
5300,2434
5780,2607
2678,1980
4307,2984
2792,3237
6620,3278
5265,2159
3967,2898
3484,2856
4467,1998
2188,2224
2549,4816
5313,3160
3200,5194
3028,3812
8768,2522
4422,1930
4057,3900
2505,3205
7309,6699
4694,6685
4835,5325
2277,3236
1904,4957
5642,2633
6404,3697
4018,2823
3924,4255
3090,8245
8105,2229
3586,3727
4345,3545
3206,7996
4526,6330
3205,1797
3356,4818
3333,4176
4656,2393
3608,2193
6603,6350
2149,7699
1720,5413
2764,4084
5139,2899
3570,2679
2083,1960
4615,2305
2995,2737
3764,2144
2262,3303
2912,2441
3272,2633
6123,4873
2958,2574
2297,2372
2960,2882
3490,2058
3005,4079
5770,3118
3933,2437
3231,4351
4537,4743
2268,4213
1597,2125
9671,2373
2722,4205
2939,2577
2445,3717
2575,4000
4101,3610
4781,4386
4094,5613
3144,3209
5278,5682
2488,2716
5087,2887
4307,6012
4862,2613
4245,5378
4021,4807
6942,4952
2479,2243
2378,2243
3724,2498
3507,5515
5006,3077
2345,4247
4146,8346
3360,7282
6694,2484
2677,3293
4586,3768
4972,3716
8735,2041
2374,3416
2341,2535
3766,2785
2500,3594
5894,4721
2629,5193
3506,3375
3617,3685
3399,3053
5008,4481
4257,3213
2837,2740
2748,2639
2247,6051
2036,2177
2504,3667
5047,3548
7740,4006
2569,6257
3196,3067
5816,3101
2616,2841
2959,5783
4261,3026
