Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,normal
Sugarcane,Jute,Wheat,Rye,Tobacco,Potatoes,Millet
8756,7122,5935,24,4503,2626,5669
5543,4912,9047,3144,6382,4648,6360
5192,9231,4880,5602,5645,2937,4208
7462,6735,6282,3674,5974,3914,5111
6304,8735,6811,5360,7518,5305,8469
7525,8881,5376,4038,7632,1611,5141
3787,7464,7461,3103,9665,3350,6963
5249,6659,5506,3232,6568,4279,7194
7390,10434,4200,3114,8433,5101,7774
5192,6087,6596,1180,6303,3200,5874
5175,6238,8511,4297,7735,4870,6669
4034,8455,7757,6151,9101,2743,3576
5665,6695,6718,5816,5964,4176,6590
4999,6486,5421,4605,4934,2773,7629
5150,5079,6075,4401,9614,3408,7120
4025,8699,5635,3159,6110,3046,5827
3414,8021,6924,4459,9152,3316,7410
3425,6120,5805,5746,10570,2334,6343
5633,7993,6199,5615,7585,4871,6303
6458,8519,6948,5036,9184,3742,4802
6397,8634,5972,5514,8368,3830,6469
6771,6927,5056,4185,5811,4064,6488
6100,8582,8694,4096,6798,3932,5438
7390,7865,6022,4384,5664,4879,7731
6964,8595,8870,2856,8103,3773,6491
6399,6541,6557,5783,6964,3846,4774
7777,9929,10317,3264,10394,5464,5399
5979,6765,9476,2432,7389,4740,7649
4780,8425,5756,3851,6344,3423,6657
3743,9490,6543,2984,6543,1994,6846
7390,6565,6781,79,7816,3217,7528
3535,9541,8381,3558,9387,5671,6633
4360,6433,6546,4317,7999,2841,5813
3959,9987,8815,5372,3337,3889,5786
5600,8335,7907,2545,6560,5517,4164
2807,4467,8179,4986,7209,5397,7582
4112,10633,7134,392,5149,4391,5050
4732,8211,5555,3823,9383,2829,6300
5761,5541,5935,3142,7018,2629,3999
6818,8339,8307,6910,4595,6544,5889
3062,5633,9215,1143,6647,4907,6323
7388,6850,10128,1751,9455,5751,6217
5040,10270,9244,3245,8503,2078,5521
7396,9450,5447,3289,6077,3851,6255
5709,9122,6414,4227,6592,5707,6036
3799,5082,7809,2473,10758,5370,5930
9198,7775,7030,6980,5481,5712,7105
5903,7804,6237,3674,10061,6419,7166
6734,10137,10170,7089,7256,3596,3987
6088,9238,5805,5234,8426,3498,5465
9185,7241,6995,4834,4281,2424,7374
8295,6619,5525,3961,6649,5475,6542
5210,7613,7138,5759,7848,2912,3814
2500,7077,5349,4437,6267,4633,6933
7018,7452,7127,3196,8569,2434,6375
5608,2328,7066,2490,5764,5046,4748
3080,8221,6495,4016,5635,2899,6860
6879,9971,4343,4035,6387,4992,5411
4823,10818,7865,2607,6666,2537,4797
4991,6647,7514,4058,6364,4501,6546
5815,10343,8897,5424,7645,4470,5534
5579,7120,6142,3029,5273,2767,6579
8114,6156,6828,5292,5869,5388,6614
5851,6106,4181,1621,8076,1938,5609
9082,8243,4996,4891,8101,5350,6244
6009,7204,7022,4806,8776,4542,7177
7824,9463,8692,2062,6808,2080,4984
8766,6783,8071,3084,5472,5746,4967
4363,4255,9191,2754,6111,1528,6623
3959,8568,5180,5258,7234,3055,7041
7697,7230,7266,4971,7655,3082,6190
7370,9949,7857,3740,6965,3790,3825
6738,7227,5666,2642,4544,3535,3350
4975,7789,5424,2843,5483,4812,8345
4173,7792,6330,4540,5481,4719,6531
3775,7255,7308,2584,7071,3269,5645
7117,10151,6517,2364,6714,6240,5152
5890,3129,6526,4925,7113,2403,6085
6327,9703,7413,4811,10128,5797,4890
6314,7981,4078,5409,6054,4784,5525
4878,7085,6354,3320,9213,3899,5399
5952,6433,9779,1604,8412,2514,6715
5601,9488,5562,4175,9002,4819,6491
4748,5927,8244,4100,9593,6387,4866
6181,5681,3769,3909,6127,3650,6179
6296,8067,6683,4304,5207,2519,6669
5281,5114,6237,2923,10323,4641,6315
4335,5661,6528,3630,8886,5435,6008
4409,3884,5562,5878,3488,2376,5667
6050,6532,9008,5828,5483,4092,6817
6289,8009,4197,2836,9590,5032,4501
2988,7111,5630,1931,6857,2798,6220
6363,7920,6288,2623,5115,4127,3697
4334,9425,7388,5704,9258,4976,6945
6369,2844,5270,3322,8167,6697,7282
7982,7550,6331,7738,10071,3281,5625
8449,9152,7904,2600,6437,3711,5209
7919,8054,8851,6169,9889,4099,6664
5185,6845,5601,3382,7966,1409,6965
2794,8785,6635,3933,8658,3533,6048
1497,10650,8515,4765,5578,6078,5765
4784,10719,6196,7285,5530,5509,8009
6839,8942,6535,4021,7204,4986,5859
3361,7503,3836,7536,7984,4670,4890
7931,9790,6621,6633,7822,4694,7655
6194,6932,5477,1204,9974,2524,7034
5825,7104,7539,1980,8844,5034,3836
5546,4772,6496,3046,4841,5238,7674
5165,6767,6372,1947,5436,5214,5165
7714,6513,6381,1116,6925,3451,7199
3689,7192,5114,6871,9156,3399,5121
4038,7748,6582,4417,5152,6004,4541
4798,6895,8018,4150,5694,4355,4800
2625,6742,9335,5852,8603,1539,6948
4415,6633,4946,5022,8243,3872,6332
4442,6829,7153,4848,8358,2279,4784
6642,8766,4769,5356,8308,3960,5220
