Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,t,vertical
Rosewood,Zephyr,Elmhurst,Dunvale
1989,988,2060,2170
1861,1175,2049,2085
1731,949,2155,1736
1492,1100,2061,2014
2126,730,2130,2069
1718,1181,1954,1847
1780,1316,1893,2037
2026,1209,1938,2116
1905,1177,2121,2027
2243,1332,1904,2277
2245,1130,1920,1912
1858,1072,2080,1938
1870,845,1946,2173
2215,1259,1924,2039
1743,1132,1932,2052
1786,1205,1871,2168
1579,1154,2036,1937
1777,1366,2004,1974
1900,1285,2064,1933
1908,1045,2067,1915
1996,1044,1934,2092
1824,1083,2173,2158
2056,1150,1961,1930
1495,1180,2020,2008
1925,1037,2118,1949
2038,1088,2199,2057
2153,1118,2213,2034
1801,1362,1918,2005
1820,1099,2022,2243
1891,1079,1998,1876
1922,1169,2122,2032
1595,1028,2215,2199
2053,1243,2084,2038
2306,1152,1877,1811
1982,1005,1931,1726
1720,1552,1974,2001
2070,1224,2186,1831
1742,1335,2072,1949
1974,1253,1659,1933
1607,632,1994,2046
1687,1347,2078,1971
2053,1172,1983,1954
1911,1121,1973,1994
1800,1209,1950,1785
1478,1378,1942,1908
1309,1182,1890,2040
1622,1109,2090,1891
1914,1080,2087,2067
1897,1244,2001,2024
1785,1572,2091,1957
1693,1182,2110,1986
1844,1103,2151,2036
1913,1130,1809,1905
2203,1170,2087,1953
1677,1131,1991,1879
2143,1110,2100,1869
1563,1314,1844,2171
1552,1212,2182,1945
2099,1019,1874,2020
1789,1002,2100,1945
1599,1139,2129,2074
1335,1162,1916,2100
1790,561,2146,1989
1918,1563,1991,2037
1836,924,1903,1884
2014,1362,1924,1957
1949,1155,2067,2034
1890,1083,2192,1806
1758,1189,1862,1971
1512,1164,1936,2128
1926,1134,1837,1860
2034,938,2086,2027
1751,1323,1908,2132
2060,1301,2109,2056
1719,1145,2077,1981
2369,1389,2050,1954
2058,1041,1830,1988
1748,984,1982,2197
2396,1283,1895,2316
1766,1138,1996,2107
2327,1336,2079,1724
1450,1315,1768,1815
2067,1520,2042,2135
1904,1203,2130,1799
2184,1390,1797,2052
1776,1185,1882,2066
1716,1032,2157,1943
1518,1118,2078,1866
1903,902,2001,1895
2010,1250,2102,2044
1929,1190,1792,1913
2049,1133,2119,1870
1985,1347,1962,1779
2324,837,2022,2076
2018,1240,2178,1800
1927,1459,1918,1850
1806,1286,1939,1989
1906,1027,1889,1940
2096,1126,2005,1933
2288,1186,2005,1970
1899,1081,2021,2084
1846,1403,1978,1865
1718,829,1895,1840
2114,1170,2118,1827
1667,1228,2003,1950
2163,1284,2123,1908
1867,1040,1850,1977
1870,1372,2264,2012
1759,1118,1668,2186
1810,1368,2008,2021
2122,1194,1708,1927
1701,1349,1804,1992
1890,1059,1969,1887
2159,1216,2114,1952
2074,1257,2123,2190
1465,1380,2167,2202
1923,1274,1704,1909
1620,967,2169,1788
