Transportation and Logistics,Data on the volume of fruit transportation in cities,tons,skewed,horizontal
Yorkton,Creston,Westport,Rosewood,Highvale,Ironwood,Lakeview
83105,55995,50608,83188,59034,53587,107356
39108,42027,55808,40825,95347,37828,45138
39592,88567,37649,37230,82904,103376,74716
59839,88106,71163,56065,42135,45307,37606
131810,81275,74857,36698,49488,65924,37738
55043,189330,34620,104970,38488,65130,95004
45773,66389,41428,45283,40824,87934,44609
60397,51053,129193,93910,47808,93842,58381
45904,74040,62472,46441,50023,51767,48516
72477,40401,45450,55870,50179,40379,48938
43040,68603,98309,36666,46483,38197,59558
53157,72799,52023,70273,46867,35074,74843
83553,89848,46141,47656,50546,27868,47127
53084,50805,44047,37401,72939,39163,53121
70683,48318,50068,62465,45836,47916,63179
68298,75245,69758,58010,82554,54898,48980
54114,86147,66919,41571,61595,66148,53508
48761,45787,90887,65079,55969,75630,53370
57577,39085,58559,38834,58232,64852,68199
62541,45813,43937,54132,54963,100703,66071
75766,43832,63996,59793,45935,56753,60810
68726,60172,69767,41888,59837,37016,56189
52289,52203,56035,31483,43801,45158,60595
82046,105266,71643,30805,90402,45636,54213
43693,48129,67493,48831,72650,55000,49217
133008,69141,45197,35913,82850,101930,113191
50662,74314,39180,75999,41900,147202,47920
43382,49667,49143,38644,33863,102823,41687
74689,60117,90883,69095,79166,46109,77903
48651,58901,57719,58746,74793,110360,35792
69072,47323,95715,28807,75683,78850,71072
48883,46460,74834,72927,56190,55919,39855
47149,58122,70908,41916,51775,65033,79951
58948,70693,40270,59751,40714,41548,74288
72291,55081,73018,45073,43922,31160,71941
34736,86777,121029,70157,78034,129311,57809
48511,69784,58916,65367,71051,74709,35247
63660,48534,67950,68785,42342,35024,64422
65394,90548,96130,50225,43712,35259,67656
55355,202803,38555,50334,84707,51418,53055
46308,41136,84786,35407,61520,62290,59386
32299,98192,41076,49753,61925,82210,36902
40296,49293,67167,37226,79230,50907,55814
43103,66519,96976,44901,63567,59077,52687
41408,58481,70930,71168,52252,88443,46177
120159,37254,55196,38084,79577,28364,46156
96023,39486,47411,39189,51441,51380,41163
82170,55908,83435,54936,76663,72649,91911
52971,86598,75790,41965,46982,80238,60038
74304,46888,49153,28760,37582,60041,43881
95090,86807,112329,67115,62887,41378,41266
73685,63314,84273,30417,53251,37536,51833
63855,54755,58798,44935,46502,59515,45422
108470,41633,71765,41827,35136,61120,58400
56133,43831,50162,37595,39770,49012,41489
44494,77718,43259,61841,40204,97170,47543
32137,60541,68612,34833,66468,35769,43774
39604,39384,70932,51550,44506,61583,58952
41334,59403,47258,53068,67536,130671,61203
58861,54261,69113,57289,39236,48815,74960
60560,72730,48164,27408,35059,98460,78511
36589,66382,47365,81566,43694,40802,85216
69425,108448,120495,49476,91247,99007,70070
57191,62696,40762,34355,58473,65365,83336
55967,70326,80357,41980,84887,92481,98510
66052,90598,44233,55451,62257,40192,38409
83707,49884,80796,30058,55256,38684,94928
62374,139534,55991,56117,73165,40083,59510
67169,44384,47710,40525,59636,39116,43514
62361,105918,58834,74893,39955,40924,58421
120563,61766,51701,40185,33288,78808,55796
81325,40957,48756,45491,59095,48903,38814
47505,55113,82430,37954,36876,57365,62273
81166,60265,81626,43527,41319,40605,56081
49637,64050,117350,58174,73671,72338,108321
41868,53667,42791,35545,49620,49999,77729
56844,42057,38720,45418,61366,43834,42868
60742,108573,58196,65102,57764,55612,49177
81273,137477,50406,53499,73153,51171,37464
65134,80549,48143,28613,77156,61627,111407
60224,36342,56471,30688,45902,68079,45374
84448,74409,65628,68780,68082,60275,43604
103403,52903,48930,28532,34623,53031,56704
68178,85942,79993,46312,46103,54226,42752
93164,68666,46333,65011,89901,55168,50023
60627,88200,51856,37045,79034,47955,75329
43536,62519,51403,26931,43033,40332,37983
57804,74120,67801,60097,60942,30024,48165
67493,52602,95282,40578,101306,52993,77798
45678,42360,68843,56012,77464,64284,34066
33457,47421,68819,28154,58638,67226,64189
40053,91363,47848,68901,51758,41755,53947
130351,76465,145566,37623,40084,111677,65899
56328,55003,85269,41002,43127,51951,103131
61817,63492,75699,98187,58995,33684,35038
41715,59852,38290,76239,62535,98663,44134
63207,77082,82114,87259,76803,36418,41493
48423,77330,66214,27601,46342,60215,62227
43553,63912,46929,44813,35205,70022,100708
55491,56637,67050,76805,69581,125616,42938
64128,91950,57861,46484,74956,65917,69757
34006,86311,43366,38408,133613,60191,121037
34385,61763,47371,31956,76441,88164,48413
45819,77776,60094,36491,62046,57305,64062
37660,64929,70506,46168,83790,39654,40189
49968,65932,74514,42004,43662,41305,81710
49835,57409,47395,53355,47795,70739,58943
52448,47964,47214,31895,78558,33779,97363
70861,77945,71018,65351,48171,84773,57266
52122,71028,102620,32179,98767,52486,90365
33655,113483,75325,77124,59162,40711,54660
39797,107135,79032,72911,37647,39284,74117
46025,95343,68531,41055,41941,46496,120685
60920,36264,68268,49019,111753,44217,60649
49131,54816,55726,75577,44646,71151,36231
42389,57694,36890,71538,57270,64100,69401
53850,40577,58049,39429,65260,32429,57619
81251,41431,37827,48603,41553,40243,47622
84882,39887,49108,47977,52995,40001,69024
47910,67358,59445,68978,46015,63282,48283
