Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,t,vertical
Lakeview,Quarryville,Ironwood,Creston
412,2662,1846,1737
830,2588,2036,2063
724,2488,2073,1815
973,2556,2023,1831
876,2556,2246,2032
684,2712,1899,1879
802,2860,2157,2184
829,2666,2113,1684
853,2591,2176,1935
741,2598,1981,2087
917,2564,2097,1612
666,2632,1867,1493
936,2586,2112,1861
640,2626,2049,1775
372,2622,2156,1609
856,2645,2075,1957
978,2516,2238,1535
929,2627,1963,1911
883,2497,2221,1848
539,2713,1879,1984
512,2757,2152,1683
791,2593,2040,2012
668,2680,2185,2207
811,2570,2096,2299
730,2625,2131,1954
901,2668,2091,1475
523,2613,2122,1944
934,2680,1976,1864
509,2551,2233,1608
1078,2764,2298,1676
479,2632,2220,2035
495,2654,2141,1598
738,2622,2176,1778
757,2629,2023,2011
434,2610,2058,1871
986,2652,2126,1733
1021,2630,2048,1716
1039,2707,2231,1499
961,2396,2151,1754
1038,2680,2007,1733
611,2516,2088,1724
833,2545,2193,2040
436,2634,1899,2369
729,2719,2017,2055
772,2695,2100,1707
203,2605,2244,1825
940,2565,2106,1946
673,2767,1966,1659
816,2538,2198,1644
726,2623,2098,1953
599,2655,1955,2034
533,2529,2256,1858
1009,2511,2005,2003
984,2701,2158,2044
730,2560,2112,1744
818,2543,2089,1773
703,2625,1995,1868
900,2618,2011,1528
810,2627,1865,2050
431,2632,2102,2171
1041,2598,2086,2123
931,2715,1934,1842
814,2645,1963,1660
771,2720,2106,2264
596,2498,1758,1595
387,2485,2106,1642
414,2604,1891,1907
970,2561,1941,1870
831,2583,2050,2298
619,2635,2115,1932
959,2843,2298,1537
776,2689,2132,2201
1078,2589,2132,1856
766,2555,1954,1522
818,2707,2081,2283
847,2646,1984,1980
702,2661,1937,1631
1034,2736,2034,1959
787,2658,2106,2239
768,2582,1889,2022
735,2619,1994,1845
526,2667,1969,1690
895,2675,1978,1666
738,2664,2113,2016
809,2667,2076,2105
821,2750,1930,1767
988,2509,1953,2105
876,2731,2059,2177
869,2577,1833,1779
741,2485,2092,2204
776,2649,2175,1848
550,2511,2257,2145
945,2724,2083,1739
1034,2744,2172,1869
743,2677,2147,2091
804,2708,2115,1592
691,2755,2178,2080
969,2693,2168,1989
636,2640,2071,2049
1003,2643,2194,1740
1025,2825,2061,1746
921,2604,1952,1854
771,2318,1849,2200
762,2585,1992,2056
500,2638,2063,1559
882,2770,2176,1879
741,2842,2040,2137
747,2610,2244,1789
917,2729,1972,1884
1158,2637,1983,1835
849,2645,2126,1571
493,2685,2214,1754
762,2583,2171,1926
942,2793,1957,1978
933,2418,2104,1929
847,2676,2154,1875
938,2644,1901,1602
641,2665,2023,1832
