Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,t,horizontal
Deep Waters,Wild Bloom,Hidden Truth,Dark Horizon,Fading Light
430,370,427,656,548
205,528,471,673,666
697,601,723,736,523
370,642,382,594,571
481,574,360,449,507
516,773,516,720,470
574,427,551,564,436
476,510,245,635,563
415,835,346,422,367
406,647,597,497,564
415,501,338,587,543
437,502,313,725,481
345,551,458,606,536
409,347,255,829,481
540,770,553,506,514
516,274,555,562,436
717,683,518,578,582
416,546,300,317,600
479,573,353,537,463
248,641,351,453,541
378,578,228,701,726
733,477,553,565,624
428,739,392,568,471
587,703,354,479,567
531,694,620,561,540
263,751,215,440,559
457,602,491,748,521
101,636,495,595,538
432,745,555,462,412
619,698,424,504,529
503,461,380,517,650
438,543,439,719,384
620,703,444,503,414
443,720,340,429,228
161,636,374,449,427
387,488,257,718,544
336,672,404,743,623
453,535,305,536,504
571,436,221,530,302
376,537,138,495,309
598,572,467,444,397
930,497,276,591,683
457,731,482,459,589
455,667,389,614,570
260,741,700,519,470
466,655,185,573,566
250,611,413,605,482
413,697,223,541,646
494,617,366,412,665
554,695,579,342,446
451,633,390,479,547
489,703,401,426,426
307,384,526,518,533
475,597,345,532,649
517,597,424,655,508
264,610,552,518,473
594,650,423,795,517
307,688,487,758,612
434,688,500,362,476
636,499,506,461,459
524,521,239,598,757
779,686,487,474,576
641,444,444,298,377
374,670,398,524,513
390,553,286,750,630
586,499,318,710,347
720,776,630,412,390
455,511,345,580,438
594,679,428,441,585
541,528,130,665,590
508,622,329,756,406
382,566,7,555,655
194,504,656,597,544
505,469,358,380,804
555,807,388,467,464
345,755,442,540,480
430,529,392,589,421
531,580,387,302,545
483,503,210,396,523
527,560,486,560,615
367,613,502,665,248
240,576,319,447,619
452,510,525,153,469
575,554,569,624,466
444,559,63,707,568
564,554,355,384,484
250,375,450,577,498
526,430,439,588,636
478,553,337,720,516
391,571,255,508,593
591,518,542,736,617
568,612,481,772,494
390,533,529,753,519
668,731,357,572,586
495,661,595,693,611
306,567,249,707,392
391,506,379,749,639
652,658,198,532,566
416,516,430,317,605
406,809,242,681,620
442,630,628,613,690
442,576,541,769,394
872,629,476,500,351
479,560,221,563,395
434,624,443,547,750
635,604,385,552,638
529,619,384,687,534
574,554,433,467,531
445,647,478,488,508
542,576,171,658,623
418,839,306,545,631
644,627,91,542,624
341,544,565,558,534
492,525,262,432,630
377,562,402,448,592
364,408,484,293,492
506,386,375,443,416
