Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,t,vertical
Sorghum,Cotton,Barley
7385,6205,6879
6473,6368,6662
7800,7091,6006
7455,6538,6511
7147,6694,6696
6809,6331,6721
6407,5892,6827
7520,5710,6938
6886,6740,4983
6436,6303,6209
6747,7211,6570
7049,6449,5291
7970,6355,6725
7949,6524,6754
6725,5378,6070
7453,6267,7155
7086,6022,6873
6766,6855,5743
6603,6336,6366
6985,6559,6729
6710,6495,5932
6964,6352,6428
7219,7043,5598
6748,6636,6405
7043,5926,5489
6709,6273,7267
6726,6445,5394
6211,6391,6380
6957,6503,5618
6929,6228,5998
6811,6861,6271
5564,5944,6349
7008,6802,6012
7424,5629,6975
7192,6052,6490
7091,6678,6745
7134,6631,6616
7070,6355,6722
7334,6641,6900
7249,7128,6670
6323,6447,5931
6601,6522,6318
7129,6223,6341
7956,6634,6665
6597,6094,6068
7694,6469,6180
6993,5609,6097
7794,6551,6552
7203,6268,6971
7264,6230,6002
7474,6158,6310
7505,6864,6416
7432,5821,6662
7263,7088,6017
6200,5847,6155
7510,6478,6493
6849,6927,6894
6874,6556,6380
7327,6345,6129
7013,5822,6621
7294,6476,6380
7242,6021,6781
6423,6370,6399
6931,5868,5859
7168,6379,5855
6820,6250,6407
7491,6324,6674
7539,5832,7098
6555,6706,6531
6425,6611,5983
7387,6408,6190
6958,6711,6218
6747,5923,6144
6878,6300,5596
6862,7458,6014
6833,6527,7040
7571,5937,6857
6904,6016,7006
6541,6204,5827
7911,5868,6133
6565,6580,7321
7556,6527,5981
7016,6377,6253
6717,6328,7432
5847,6229,6812
7514,6747,6480
6948,7076,5846
6941,5730,5978
6951,6431,5535
7111,6929,6229
7053,6690,5821
6681,6412,6848
7198,7383,6129
7340,7044,5834
7825,4483,6157
7446,5971,6562
6663,6601,6230
7410,6636,6250
7146,6646,5429
6670,6556,7211
6512,7037,6309
4697,6273,6020
7555,6587,6610
7013,6354,6593
6712,6545,6250
7212,6600,7089
7319,6598,6119
7263,6204,5669
7350,6683,6814
6850,6157,6716
7686,6449,5800
7062,6249,6242
6705,6322,6289
7176,6033,6334
7862,6674,6560
7532,6201,6530
6831,6478,7056
7049,6576,6978
