Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,t,vertical
Silent Echo,Twin Souls,Wild Bloom
619,461,383
649,479,557
471,509,427
705,503,173
581,477,387
481,685,313
432,635,401
764,449,426
850,518,514
680,420,498
405,630,419
607,578,375
684,483,557
517,492,602
339,641,443
574,598,426
674,266,466
836,471,323
495,721,412
581,422,314
622,465,255
713,646,413
631,570,310
562,559,353
565,614,534
537,444,302
731,528,488
626,592,452
786,291,577
495,576,394
698,636,434
645,552,316
541,565,256
630,413,559
527,373,404
582,646,268
613,639,482
504,500,461
698,522,395
497,711,477
481,518,419
592,575,395
473,637,463
505,414,337
602,615,350
508,605,483
781,699,585
579,417,347
385,546,508
685,466,364
505,701,435
504,653,433
598,677,426
641,532,462
538,585,552
595,527,293
558,554,472
623,660,438
588,551,396
617,627,490
585,443,334
681,562,600
374,442,494
457,655,296
580,376,505
726,584,382
646,456,511
601,718,532
592,689,479
843,643,381
457,652,532
584,620,444
547,530,504
684,512,435
505,557,496
543,581,484
584,469,450
788,232,449
601,554,586
514,644,309
599,740,172
582,480,448
586,354,453
634,493,208
612,642,390
519,598,383
478,635,467
397,551,500
645,572,438
521,370,586
567,673,499
586,701,446
353,721,433
652,633,418
620,479,355
540,616,355
523,500,478
710,704,484
481,460,545
504,544,552
723,425,319
668,564,439
707,421,335
500,570,504
542,464,492
587,484,253
667,561,548
663,636,440
646,443,431
678,466,597
508,586,228
619,600,455
516,496,447
644,467,400
483,729,483
516,492,347
644,597,532
593,677,463
