Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,skewed,vertical
MoviQ,Castio,PlayBit,Viewly
10637,13210,17926,11808
10614,13530,17621,12056
8398,15765,17199,14901
5449,20100,18006,20097
5885,18021,18362,16640
17003,14189,19966,11114
18236,17068,20631,12022
7985,13551,18729,12638
6893,15033,16626,15658
17265,14613,16728,16184
14289,15413,21976,10947
9395,14422,17884,12074
18297,15324,19810,14671
7532,13487,19301,21460
15392,12914,16797,17055
20580,13840,16661,21518
10589,18065,16662,26633
20077,15259,16930,22200
15348,15335,16069,19262
31083,14963,17460,13690
3742,13792,19073,12076
11509,14135,16325,14771
7415,14306,16901,14783
5373,16800,17402,11478
15659,15818,17764,15024
20226,18312,19974,15355
14766,15050,17347,20244
6424,14485,19501,13206
15651,14271,16197,23308
15006,14268,18112,17311
15240,14001,16826,14226
3460,16190,16945,22541
30671,13937,18219,20674
23358,15215,20216,15052
18338,13573,16662,18380
12701,15804,17258,17232
24518,15365,17053,12259
21095,13716,18123,15013
14886,14471,16710,17168
34175,13640,16715,17525
10511,14346,15887,18733
12591,15026,20531,16891
4287,14510,20974,11619
6465,16566,16942,17641
13980,14931,18211,17591
5998,18287,16763,18464
9816,14017,19420,17608
10313,16079,18749,16535
7099,14093,17572,15082
9907,13437,16563,18011
15049,15254,20075,13560
15070,16019,17608,15948
4831,14832,19031,13503
15010,16615,18474,11510
7905,15073,16712,12623
9505,15054,17728,14337
6781,16819,18180,13114
17048,16049,17484,26218
36695,15603,18171,16057
24121,15477,20103,16001
8447,17626,16363,15468
18780,13323,16041,13396
18177,14225,16333,19158
11924,14351,16267,11130
16511,14277,18928,15740
4525,15348,20963,12638
16446,17122,17849,13268
15989,17508,17812,17623
12605,14886,18825,11721
26299,15811,19702,11947
25529,19067,20798,12084
6009,13862,19759,18765
6855,16603,17167,17631
16382,13332,17489,14755
11990,15325,17889,26293
6891,15967,16033,11548
13704,14590,17501,19580
6639,13639,18210,13549
20831,19918,16095,18095
7451,16432,21362,28615
9167,14041,19737,21598
11582,16272,16926,11447
10937,17253,17120,18046
17939,14688,21529,11406
4007,13738,18230,12359
7015,16140,22542,16850
16348,19288,16588,16364
22352,16686,18290,14940
18230,16559,18526,18448
13204,13721,18309,22682
34852,16464,17760,13819
15668,15356,16439,10969
16167,15956,16552,18627
6595,14424,17385,22670
11702,18445,19562,15563
22833,14309,15883,22590
11179,17696,19961,15195
6693,17302,18181,15397
15383,16838,19983,12745
11802,17296,17239,13525
7221,13959,17912,17037
9923,16844,16498,18754
2359,14064,17246,13650
9675,14437,18744,17529
10632,16150,16827,18528
16298,16248,21116,15316
10126,15866,20440,12317
10501,17167,21708,12513
11932,15101,16741,14450
18036,15539,16185,12466
5938,17507,16593,21307
9966,15648,16135,22068
28065,14842,16282,22799
17109,14485,17753,15997
7644,14557,16331,26949
11923,15287,21046,21683
13711,16842,18507,19361
8029,13531,16727,11730
