Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,t,horizontal
PixelX,Tubeo,Vizzle,Castio,Zoomo,Watchit
2652,27939,24940,8759,27908,8598
10545,28959,24427,18919,30182,9340
11649,28682,20090,17986,24808,11049
8124,26999,25985,28134,30256,11250
9610,27085,22372,23163,30297,9370
16169,30583,19665,13625,32937,8979
10608,24942,19635,23288,29210,9773
12804,27124,23944,19808,31783,6982
13003,26005,21952,23366,29642,9580
8905,27695,22208,25374,26905,3933
15561,27620,30519,19350,25796,9339
9209,27916,16604,27563,31278,9281
19915,27866,19157,19937,27402,8797
10303,23378,23271,20032,30613,10343
13140,26474,21804,13403,24481,7656
13787,27532,21463,23547,28150,9600
14848,28774,23406,12648,28347,9010
16231,29176,20420,20233,25313,8953
8027,27181,21497,30474,30816,8035
11730,27589,21947,12216,33824,9438
12895,27151,24384,14878,26706,9352
13082,25821,20232,21180,25612,8091
12424,26882,17989,13708,28934,10775
12907,27607,23093,29468,29883,11625
13496,25581,13294,15438,24977,6784
11617,30833,22414,23742,29910,9010
5752,29189,19446,23032,31116,11322
5022,23245,22967,25987,31783,6802
13369,24287,18198,17802,30314,10828
12122,28574,25881,16524,27567,11413
10916,31410,22023,14607,27234,11479
11926,25563,25589,17722,24804,10597
8243,25550,18834,24393,29213,7962
9521,29621,20815,17403,27240,7934
17446,26780,16529,22315,27902,9652
18544,32762,29141,27177,29563,11041
11826,28672,14249,19680,28675,8498
17401,27842,21379,26788,23970,8706
15514,30695,18740,18315,33095,9920
11381,28035,2803,22939,27424,9561
9833,27564,6530,23171,27404,8847
14241,28930,22917,16381,28055,9136
8431,31441,24313,12746,29090,11205
14155,28520,15268,15852,26895,8515
10731,25979,21060,17282,26106,9600
10545,25432,22929,19324,26458,7655
10768,26694,15937,22581,26577,11805
17605,26496,18577,23803,25949,10909
18729,27551,16764,13531,31497,10411
5948,30704,21821,28127,31024,9274
14891,29616,21822,22972,26827,10515
11176,27381,24373,20832,26038,10972
12741,25569,20053,31556,28290,11446
7000,27548,19693,9010,30604,8971
10826,26936,14044,20939,28735,8495
3315,31208,24873,21339,27650,12081
14269,26074,17261,24584,27542,10201
5879,23466,24016,26883,32777,10861
9049,24218,23564,21811,30056,8616
11088,23160,20141,19408,24888,12537
13711,26269,16667,25208,31561,9446
13551,24219,23518,22774,31138,12236
12716,31172,20649,3127,31241,6363
13615,24069,22265,22595,33031,10215
2667,32749,17859,20942,29275,9722
15133,24800,21081,26608,30261,10049
16064,26888,21148,16437,28431,9880
12335,32846,24160,19335,29618,8811
14770,28934,20469,18412,30538,9160
11001,29548,18317,23829,31372,8881
13783,29384,26644,23402,26998,8766
14316,28384,8924,21793,32798,8622
12784,29373,25287,18229,30626,9040
14910,26973,23839,26008,29739,10746
9228,26575,23084,19463,29347,10030
14155,29311,22126,19277,25860,12254
13787,27745,17801,20328,29814,10355
11014,27654,22169,15870,27236,11375
16031,25369,23100,28583,30259,11323
8948,28365,28752,26983,29898,10638
13685,27733,20766,26595,27420,3856
8601,23208,20479,11392,28749,9372
16669,29889,17407,29480,28853,9803
11571,30495,23671,20677,28326,6970
16839,31465,27670,30429,29679,9657
9637,27561,16401,24455,29728,8386
14722,28105,26733,15471,32414,8199
8079,31725,17189,17550,28853,9365
13651,27411,22078,22509,30074,7088
7860,18517,16835,26112,33455,10181
10350,28006,14266,15677,28977,9585
10450,29052,23154,12693,28616,10244
6615,29164,25746,23809,25629,8912
18833,32412,19582,25292,30543,10136
11389,27610,15661,18756,30384,3931
14278,28565,20181,15661,26869,9219
6722,27215,25954,20712,27512,9148
19008,29774,26220,20887,29882,8963
4289,28815,27305,22285,29527,7568
12516,31495,27320,16296,31757,8124
11408,26619,25555,20625,27606,11084
12817,27049,24248,22879,30934,10508
9929,25522,17257,15313,35049,9489
13508,29828,20160,22665,26779,8665
11319,29809,24990,14761,28896,10207
12211,28097,27276,7463,27464,9635
9296,27465,22307,15227,34577,7486
14092,27296,23402,30538,29074,11483
9891,25234,21684,30831,27800,10242
8920,31281,19886,21405,35075,9577
12535,30335,22380,29921,29913,7512
17198,22289,24143,24837,27148,7672
9308,32067,19717,19789,20923,10657
13104,28236,14563,16751,28310,9124
11655,26570,14432,23853,29916,8151
10829,31349,19981,14479,27356,10062
4397,27251,16933,22337,29181,10119
14496,24863,31234,21558,31976,8447
