Energy and Utilities,Data on daily energy consumption accross cities,MWh,normal,vertical
Ironwood,Westport,Brookfield,Elmhurst,Springfield
4109,1806,5586,1756,5448
3858,1938,4862,2215,5304
4067,2344,5553,2351,5320
4109,1695,5281,2622,5340
4280,2077,4537,1466,5005
4061,1605,5063,1526,5813
3646,1828,4710,2401,5697
3174,1775,5367,1764,5158
3745,1172,5581,2345,5564
4312,2384,5005,1635,5202
3580,1978,4346,2017,5027
3850,2606,5158,2002,5691
4080,2648,4701,2333,5591
3552,2173,5234,1256,5515
3464,2007,5090,1358,5577
3745,2484,4917,1984,5923
4010,2344,5095,2563,5444
3775,2159,5178,2303,5353
3975,2717,4960,1611,5463
3877,2278,4969,2048,5858
4098,2299,4956,1839,5046
4175,1610,5013,2640,5561
4438,2147,4613,2087,5765
3432,2618,4876,1773,5170
4345,1745,5044,2524,5277
3896,1962,4726,1422,5452
4138,2265,5134,1981,6281
3742,1604,4858,1881,5479
3585,1919,5024,1815,5473
4135,1225,5215,1611,5041
3497,2366,5134,2002,5977
3734,2363,4758,1743,5535
4259,2221,4897,2527,5948
3724,1876,5088,2343,5872
3749,1641,4844,2483,5905
4087,2653,5367,1655,5247
4086,2446,5182,1035,5628
3799,2938,5012,2541,6160
3526,2220,5064,2020,5395
3874,2194,4753,2325,5111
3835,1600,5032,1945,5882
3856,2181,5338,2291,5217
4429,2215,4998,2207,5535
3752,2139,4872,1568,5472
4167,2164,5606,2175,5925
3867,2042,4296,1073,6060
4071,1851,4267,2518,5786
4434,1593,5371,2146,5817
3846,1688,4842,1620,5956
3869,1460,4612,2035,5239
3697,1794,4963,2350,4768
4305,2655,5195,2280,5764
3464,2328,4391,2558,5512
3331,2365,4218,2227,6270
4015,2631,5159,1694,5305
3427,2160,5312,2295,5435
3011,2591,4168,1233,5223
3960,2291,5426,1891,5504
3970,2227,5039,2333,5829
3818,2153,5016,2273,5791
3353,2555,4559,1346,4973
3623,2146,5315,1848,5673
4271,2830,4624,1942,5421
3931,2345,4439,1908,5109
3714,1938,4648,1726,5242
4139,2182,5012,2406,5269
4038,2143,5254,2663,5588
3985,2157,4977,2588,5438
3710,3276,4999,2542,5942
3214,2768,4663,1726,5659
3793,2375,4801,2631,5389
3589,1548,4699,2490,5477
4456,2745,3847,1713,6154
3666,2828,5069,2203,5685
3994,2597,4786,1667,5220
3612,3065,4649,1950,5863
3725,2380,5089,2122,5387
3760,3054,5024,1834,5935
3758,2371,4989,1574,5743
3952,2525,4862,1556,5280
3706,2986,4805,2500,5002
4322,2879,5017,2161,5219
3873,1221,5094,1434,5510
4190,2330,4912,1872,5654
4225,2439,4380,2120,5979
3958,2412,4958,2073,5253
4203,2455,4894,2224,6253
3680,2094,4515,1880,5841
4126,1803,5233,2043,5862
3888,2189,5222,2214,4996
4298,2137,4764,1742,5673
3730,2433,4643,678,6187
3549,1778,4590,1756,5506
3927,2548,4847,2527,5248
3733,2660,4854,2044,5713
3776,1935,5099,2569,5547
3347,2200,4321,2098,5079
3937,1429,4682,1875,6035
3942,2586,5266,2502,5194
3208,2283,4908,1053,5592
3422,2307,5210,2144,6003
3670,2858,5139,1665,5416
3671,1786,5366,1814,5628
4205,2133,4582,1719,5595
3366,1872,4979,2080,5559
3836,1938,4534,1945,5575
4103,2431,4783,1713,5943
4164,2269,5419,2088,5599
3824,2307,4329,1550,6109
3409,3026,5093,1656,4964
3860,2097,5414,2137,6257
4016,2175,5032,2675,6079
3214,1485,4200,1940,5549
3307,2178,4908,1734,5939
3295,3024,5346,2254,5936
4325,1533,5258,1865,5962
4223,2233,5176,1593,5005
3967,2390,5274,1921,6207
