Science and Engineering,Research and Development Investment by Country,million USD,t,vertical
Brookfield,Oakridge,Creston,Zephyr,Highvale,Glenhaven
780,628,627,658,703,688
353,651,490,727,544,514
420,652,508,613,707,623
698,531,356,560,728,456
698,506,565,640,617,493
506,622,639,599,675,536
440,587,415,616,639,494
500,516,724,513,709,490
892,718,256,512,591,498
715,318,485,855,685,440
460,510,667,596,558,404
517,655,398,647,582,503
615,582,726,505,863,448
555,563,538,664,667,329
743,463,497,600,620,510
509,555,539,546,598,494
613,724,489,447,675,152
606,500,487,734,540,394
705,526,434,533,626,427
512,557,415,522,568,546
557,593,357,471,739,406
588,511,678,600,312,567
630,641,515,668,632,605
542,699,623,727,592,521
541,773,552,432,671,448
524,399,388,528,597,331
564,784,554,531,549,634
579,332,534,559,640,169
588,668,634,641,567,547
560,534,480,535,638,705
589,566,482,603,817,423
566,437,453,471,423,365
547,733,408,728,677,628
820,712,660,637,631,544
551,599,261,671,742,467
506,756,631,564,499,530
674,725,643,674,782,547
547,655,539,633,748,627
591,606,403,633,755,371
468,612,544,429,711,536
613,403,286,601,571,599
357,677,340,632,615,349
512,693,467,443,663,426
510,719,594,409,721,564
745,664,411,659,609,452
576,659,682,441,773,453
688,559,586,539,814,451
407,507,749,668,586,551
638,542,343,331,637,376
659,669,569,791,476,364
536,519,726,498,499,635
586,630,415,623,724,553
817,688,434,642,675,521
688,713,464,605,692,473
540,803,612,653,620,568
546,458,613,541,524,384
513,507,671,606,600,408
589,730,635,630,678,305
627,680,514,682,563,376
559,612,469,580,674,565
581,572,593,571,601,497
476,547,576,666,752,519
591,554,466,595,574,435
547,583,593,481,606,560
777,489,434,468,820,545
457,667,620,465,573,335
741,484,593,589,711,549
844,538,741,689,456,448
712,879,579,536,833,427
577,542,439,594,721,515
725,563,458,641,595,505
625,774,434,537,646,548
600,540,369,576,736,456
516,680,481,448,619,297
648,468,571,802,428,510
556,438,682,607,793,610
707,726,529,584,818,572
577,787,374,603,651,597
335,498,380,477,366,627
350,563,224,781,699,458
581,690,453,604,726,372
399,376,573,596,637,458
519,641,620,552,598,339
599,711,636,650,704,731
462,770,471,566,665,648
567,664,504,671,539,442
500,668,653,482,747,623
360,671,480,525,605,562
632,462,495,596,639,504
603,593,421,515,751,557
642,617,819,548,716,560
512,500,651,567,528,434
683,621,697,517,588,654
223,689,616,260,377,548
595,511,611,400,589,398
632,673,427,647,594,484
509,645,423,623,641,437
341,663,363,655,471,182
555,756,457,824,673,400
520,779,603,361,525,591
438,547,548,639,585,504
405,711,663,541,544,564
630,435,598,556,811,542
557,687,487,612,642,597
375,649,347,615,664,544
609,425,482,628,678,293
481,705,502,639,536,353
590,705,581,592,547,658
266,644,595,702,720,459
352,704,538,591,660,615
552,607,589,539,668,197
705,692,515,655,673,531
641,612,486,683,558,520
596,480,528,535,550,341
533,632,579,669,673,525
816,527,573,584,463,393
531,877,584,642,579,251
