Education and Academics,Data on employment rates in different schools,%,skewed,vertical
Silverton High,Northgate School,Westport Academy,Riverdale High,Lakewood Institute,Meadowbrook High,Pinecrest Institute
76.45,84.58,80.07,98.38,92.73,77.45,102.41
76.89,101.66,91.13,77.24,81.45,83.32,97.69
72.56,75.41,83.45,86.55,86.44,81.91,82.63
78.28,75.81,94.5,81.67,80.35,89.63,93.57
76.3,74.92,86.46,82.27,86.73,86.14,92.77
76.07,92.29,89.69,84.87,81.88,98.95,79.73
76.91,93.92,87.93,76.25,82.56,80.37,81.15
91.1,101.2,85.08,75.18,87.17,89.99,82.09
83.23,79.32,87.27,92.13,74.32,97.94,92.63
96.96,88.47,86.59,85.05,81.31,81.55,77.57
87.84,85.12,82.29,83.64,71.4,90.7,84.28
85.19,87.08,78.09,88.73,80.59,87.04,95.3
91.49,97.54,76.33,75.08,76.63,89.95,89.15
87.77,91.19,80.33,78.78,74.99,105.23,111.37
85.4,105.32,78.36,90.98,73.93,95.64,81.59
79.47,91.75,99.4,83.74,78.67,81.8,93.57
78.87,79.15,96.91,82.89,90.66,78.24,101.0
76.29,88.02,96.71,89.1,77.89,84.51,101.45
80.95,85.35,82.56,89.29,76.28,94.37,90.46
78.42,82.33,87.16,78.84,75.95,85.63,81.04
76.61,98.77,98.35,98.42,83.11,84.48,87.8
73.29,86.68,94.11,81.24,79.51,76.73,81.96
84.32,85.09,87.56,82.93,89.04,79.89,78.83
79.25,81.37,94.45,80.09,87.57,82.57,80.79
77.23,91.34,76.89,81.08,77.47,75.21,101.12
86.03,98.44,76.17,75.61,78.12,76.9,81.39
81.82,82.34,88.95,78.5,76.9,91.71,97.98
75.58,93.83,79.27,83.12,87.86,94.02,88.55
77.55,92.06,100.29,83.01,72.8,94.6,91.41
78.57,81.5,81.32,86.44,79.85,85.98,79.82
77.24,83.94,108.7,88.57,96.6,85.62,97.81
76.81,79.91,81.07,79.95,106.62,79.23,87.79
87.8,83.87,78.27,87.78,72.71,85.56,100.3
83.75,80.63,83.82,85.18,92.51,79.3,77.21
95.93,86.39,84.61,82.12,83.69,81.82,78.98
93.12,80.51,78.38,82.74,74.85,86.72,82.68
77.46,85.53,78.36,82.12,83.78,79.0,83.66
86.71,83.74,85.05,88.04,90.05,87.82,88.56
79.38,91.9,107.1,86.22,74.33,88.69,86.31
79.46,81.66,84.77,83.99,78.27,100.47,103.29
85.43,87.28,84.14,86.4,87.13,88.27,81.58
89.34,97.21,105.58,92.08,85.59,114.45,93.89
76.8,89.31,79.73,84.34,86.0,78.49,87.19
89.34,85.93,75.49,83.37,81.59,86.63,95.61
78.02,88.77,92.51,81.11,72.61,86.45,81.85
75.44,78.31,80.49,91.75,78.01,89.61,91.66
81.61,81.88,92.6,80.21,83.2,85.46,105.94
80.16,83.83,76.3,83.07,73.49,88.39,78.49
89.13,91.07,93.31,81.63,82.41,96.54,77.66
87.53,101.9,92.88,95.09,76.56,99.62,88.47
73.64,96.45,77.89,89.6,72.29,79.03,94.92
