Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,skewed
Barley,Cotton,Coffee,Jute,Oats
5161,2985,3490,13296,5438
7376,3663,4858,8894,3446
6556,8683,4374,5250,3209
8908,3245,6872,5997,4755
6322,3096,6219,7658,3083
2701,4210,4070,4114,3475
9054,1991,4372,3936,3943
2989,5154,7158,5400,4993
6884,3789,5763,6885,5822
7378,2567,7263,3828,4916
5038,5826,2779,13523,3595
4757,10343,4550,9593,5792
6334,4245,5471,8951,6175
6452,4192,3713,15129,4374
6010,4206,7398,14835,6070
4085,7188,7841,9839,3778
3327,3782,8456,6111,6899
2404,2589,3555,6039,6386
5285,2674,4131,3554,3127
4894,5132,4481,9162,5559
6109,6584,4475,6991,4595
4099,5322,5887,6134,5973
2124,3281,2709,2975,3967
7949,5363,5062,7404,3831
2577,4336,3861,7465,7642
2295,4037,4449,11181,3125
1951,2913,3961,4318,6361
2571,4964,6807,9197,3370
7261,7877,5352,8986,3518
3883,6331,3703,3362,3995
3544,4946,3962,6146,5049
5988,5375,6817,7435,3628
4057,3034,3339,7374,4832
4731,5369,5604,4300,6690
7205,5010,3572,5169,2765
8994,3386,9072,3785,7227
3986,5657,6614,6269,4301
3288,5124,5877,7146,7458
3177,5406,7111,8100,5496
3551,6924,7282,5281,2771
6398,4479,6267,8530,6797
2462,1926,5243,3806,6025
6388,5191,7707,8062,4092
3203,3817,9619,7253,3413
3042,4008,4239,6729,7477
3987,4262,3171,8628,4459
4391,4713,3232,10337,2728
5545,3541,4653,14044,3856
3518,2170,3081,4052,4976
7886,6059,2968,11608,4478
3442,4936,6249,12350,4799
4679,4905,4556,8715,5646
4583,5340,3166,9962,3956
2263,2527,3360,6936,5722
2532,2628,7905,11889,4357
2537,4237,4788,8245,4381
5084,3835,3126,13879,3749
3451,3495,3050,6009,2845
2496,4579,7491,5300,4018
4768,3951,9213,5833,4891
5986,4929,4943,7829,5793
7753,3771,5951,5341,6269
5755,5907,4055,10136,5621
5805,2762,3978,10552,4000
3886,3499,5609,10043,4498
3189,4999,4001,5087,7276
8633,2351,5526,12515,2704
8314,7705,9925,8170,4674
2999,4210,4345,9043,3617
2723,1863,6668,6317,4097
5128,7105,4828,9860,7088
4989,3829,4604,10418,6982
8398,2820,4748,5208,6972
8847,4423,3768,8114,5483
4999,4086,3378,9703,3737
2671,5849,2853,9002,5619
3021,3085,7991,8894,4859
3565,4285,8495,7923,4970
5109,5816,6188,7362,4552
10520,5769,6883,9262,3487
7341,6048,3433,5769,3889
5617,6395,3587,13784,3541
4205,3355,4477,4978,4846
4728,2358,6950,7063,3174
3266,5728,6147,7643,4944
6871,6754,5987,4767,7729
7156,5187,5175,6512,4908
5621,2878,4102,7601,7502
4033,3201,5029,9910,6130
5529,5720,4022,5172,4363
3648,6293,5880,9785,4453
3872,9375,4101,5321,4913
5857,5680,3816,3904,6663
2219,3027,6558,4682,3907
6477,7705,5115,8499,5951
5990,2914,5537,7086,5143
4606,4740,3680,8653,5050
9112,8783,7463,6989,2924
2269,6471,5752,10381,5295
4498,5008,3487,5750,5364
2767,5028,5902,6249,7303
4544,3860,3657,9039,3235
5009,4599,4858,7276,7612
4550,7054,5655,5208,3043
2604,2155,6326,6235,2789
6606,4905,4032,7116,3335
8974,5281,3027,9812,3794
4275,4396,4730,7096,3973
3606,7911,6617,7384,4876
1826,4127,2993,8922,5205
8991,3957,3795,5370,4568
9298,7707,7888,11535,6807
4180,3815,7218,10422,3399
3752,3892,3357,5716,3542
6737,4110,3811,7956,5440
2344,8130,5820,12253,6498
6968,6528,3694,4337,4368
10302,3784,4774,4974,7847
