Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,t,vertical
Cafeterias,Sushi Restaurants
651,560
694,598
514,487
554,420
536,484
545,91
668,464
431,440
651,488
681,646
536,386
638,737
500,467
544,379
535,637
525,673
472,556
478,500
642,478
586,408
560,428
642,461
535,375
614,489
743,529
631,542
513,655
645,307
527,176
612,406
584,679
464,278
641,384
648,496
494,654
592,434
472,379
521,441
414,426
661,525
409,417
692,484
491,488
601,487
559,484
552,442
701,552
541,399
193,542
633,377
368,531
449,254
415,461
435,432
523,469
425,382
633,517
384,635
424,472
479,381
395,489
601,409
563,531
520,438
543,491
460,387
536,615
494,551
532,505
489,447
666,490
291,445
681,555
458,498
630,497
571,507
622,430
586,583
286,502
645,559
483,473
563,353
744,360
618,548
436,544
610,468
431,380
521,566
489,284
563,440
647,387
436,333
619,494
566,310
526,357
659,532
349,468
505,397
542,518
509,360
517,432
346,617
658,472
625,366
569,290
680,739
600,416
394,475
425,457
605,641
401,357
432,436
276,603
531,332
583,487
522,527
581,424
566,486
