Business and Finance,Data on the monthly revenue of different companies,USD,normal,vertical
EcoCore,UrbanFlow,SmartHub
26279,22816,59205
54476,32884,49619
43190,33203,68219
62651,27588,63644
57193,66406,47324
44923,39917,45980
68856,33754,39054
51377,54261,44916
48432,29180,50559
60739,43071,57168
43697,56917,42419
19706,9578,61877
43214,37573,35695
33761,34338,53837
28735,24564,52087
50674,55368,55982
45779,34387,63312
33072,45238,38403
46190,27772,29224
72491,59015,61158
40808,34602,60718
46703,39229,57063
57673,64363,69083
58591,36686,61403
65310,42464,46859
49120,44691,49672
56765,34762,42628
50259,50341,47391
46369,36462,38392
50752,38220,59418
50541,41323,74219
63114,38726,45802
51084,66115,54727
74677,34167,77408
70600,58616,68055
59797,74030,47092
62207,38345,57194
80298,41269,41403
71379,41601,55734
47712,44135,71361
77917,37804,66590
81916,41666,51404
43965,60528,39211
73012,29104,53199
74311,36624,54133
40733,38485,70033
4063,27025,53243
26655,38746,59505
92466,37753,64620
43291,36027,81595
60388,37654,58536
59118,61134,57708
45502,39144,54928
35816,25616,34911
43305,27680,46279
33285,33571,49293
60055,31893,52991
66768,54938,62764
38015,36244,59653
50571,59173,72126
56778,37339,64376
50514,49428,59018
42455,42601,43958
65469,22273,31560
55710,47072,47397
62562,14477,55843
40744,26972,67255
35306,19065,16945
28653,15854,40985
45102,50833,72145
46304,38484,63230
66336,55491,57306
69471,44294,63183
59437,27493,29011
66006,30872,35082
54986,59947,58485
29677,41566,82679
42436,37073,38218
29801,61364,49110
61160,42347,51621
45038,43531,57473
48769,37987,32719
68506,36653,50557
50969,62771,23070
38563,44224,63059
71926,38225,49482
64634,64556,53910
58593,36253,40588
79225,45618,38204
55424,24252,38476
73269,57300,71975
44893,52216,41636
90057,35872,54898
42351,41283,16714
53764,51338,67462
58840,49912,57621
34626,62844,56642
60731,33444,65759
49300,55448,56822
1122,35417,43493
38605,45763,41958
30323,45753,52569
90293,43032,55277
61547,32361,57239
53870,49057,59898
50679,35689,35342
34778,31718,43490
41337,54587,63036
44532,56106,27678
54355,53108,57441
61485,62885,43619
54088,34958,37370
59073,49161,51158
55068,33892,49072
61753,34219,51882
51272,20416,65466
48382,44567,67367
19800,51588,56068
37687,38598,49802
71284,42266,46793
