Science and Engineering,Research Grants Awarded,$
trend,exponential_rising,periodic_stable,volatile_rising,volatile_rising,exponential_rising
Year,Crimson Foundation,Luminara Academy,Aether University,Oracle Labs,Starburst College
1982,1911693.5,1776199.41,2209026.2,2562196.09,2001592.92
1983,2136268.61,2733770.58,2389870.24,2276501.8,2778157.09
1984,2445038.42,2367635.87,1828449.01,2598408.46,2518687.72
1985,2495636.29,1868896.18,2639364.95,2244063.99,2573453.71
1986,2636261.06,1455863.62,2779272.45,2549585.31,2579835.58
1987,3344835.17,1883572.45,2716544.1,2715771.7,3116583.13
1988,2719800.15,2706525.33,2699231.33,2117465.33,3106661.71
1989,4519244.59,2633759.65,3180270.82,3119200.27,4286630.47
1990,3934270.96,1917553.04,3233514.02,3565375.77,3965933.13
1991,4983030.03,1823455.6,3803963.69,3557043.12,4648340.65
1992,4607686.87,2082648.57,3430032.61,4710682.32,5132004.6
1993,5542092.48,2606542.81,3780255.61,3265661.16,5681465.92
1994,6283326.47,2190942.46,3777412.15,3586040.85,6216720.06
1995,6694446.04,1786205.26,3975343.92,3391771.52,6334780.91
1996,7068139.63,1555350.67,3921679.29,4738157.06,7940869.01
1997,8445327.47,1735741.46,4361885.7,4451449.82,7970394.03
1998,8596744.13,2518796.47,3640379.57,4441759.56,8938855.61
1999,9709997.5,2314413.2,4156692.77,4763255.42,9952390.13
