Business and Finance,Net Profit Margin,%
trend,periodic_stable,volatile_falling,volatile_rising,periodic_stable,volatile_rising,exponential_rising,exponential_rising
Year,Starlight Innovations,Horizon Enterprises,Vanguard Dynamics,Apex Systems,Ironclad Ventures,Aegis Corp,NovaTech Solutions
1991,15.0,15.63,14.41,14.41,16.28,15.01,16.28
1992,18.34,14.54,18.49,18.2,14.11,16.68,15.98
1993,16.72,15.94,19.25,17.43,16.28,17.89,17.79
1994,12.93,10.79,16.91,12.72,17.41,18.74,18.84
1995,11.2,11.92,20.19,11.94,18.0,22.74,22.09
1996,14.96,11.48,19.7,15.58,22.31,24.39,25.35
1997,19.19,7.62,22.65,17.95,22.7,28.5,27.6
1998,17.05,9.93,23.56,16.83,24.74,29.04,29.83
1999,12.98,9.53,23.68,11.62,24.25,30.48,31.98
2000,11.73,7.49,25.34,11.59,26.8,35.33,34.18
2001,15.55,3.41,26.59,14.88,28.89,38.68,40.38
2002,18.1,6.21,25.99,18.42,27.88,43.8,43.27
2003,16.25,2.8,28.9,17.07,29.97,47.38,47.51
2004,13.08,4.7,31.32,13.74,31.51,51.77,51.62
2005,11.54,2.34,33.79,11.56,31.9,56.23,56.81
2006,15.41,0.34,32.58,14.4,32.27,62.25,63.55
2007,18.66,0.73,35.32,19.19,34.66,69.03,68.82
2008,18.04,0.33,33.55,17.23,35.34,75.53,75.49
2009,13.64,0.15,36.77,13.4,36.89,84.78,84.45
2010,11.83,0.15,37.61,12.13,37.07,92.42,93.75
