Cultural Trends and Influences,Theater Attendance,tickets
Year,Stellar Performance Troupe,Aethelgard Thespians,The Ivory Stage,Silverhaven Playwrights,Azure Curtain Players,Meridian Drama Circle
trend,stable_rising,volatile_falling,exponential_rising,periodic_stable,exponential_rising,volatile_rising
1971,347691.14,490032.84,462167.94,386665.19,403196.82,350886.21
1972,406605.4,367695.14,414773.53,472420.66,412582.5,440558.36
1973,438056.29,343040.93,521585.84,454937.57,487307.23,416683.18
1974,519224.6,267614.23,586764.85,296530.17,513459.62,472621.58
1975,499414.3,324442.13,606312.0,279383.71,593727.13,555218.61
1976,507503.76,253777.7,624179.25,389198.29,676267.2,635819.6
1977,565029.16,273133.39,790264.51,526737.25,704106.9,619890.01
1978,525275.06,257247.55,842580.72,476167.26,779630.53,511990.31
1979,591809.12,214064.54,832518.68,341821.12,901401.94,723602.54
1980,634489.6,138161.36,940593.78,304513.84,929037.43,619417.78
1981,615477.98,214817.1,1093307.58,383404.81,1007922.41,809972.05
1982,604112.55,183901.85,1136490.34,485314.51,1178244.51,728586.77
1983,636055.53,56284.93,1249821.61,473646.88,1245384.58,791653.78
1984,671067.23,125654.37,1427276.07,359142.88,1429882.38,896863.48
1985,662894.91,108441.78,1531026.76,294463.47,1561306.19,927989.61
1986,646457.51,23346.62,1688550.17,376946.76,1625173.59,888611.78
1987,756273.59,4000.0,1869537.27,515172.61,1845989.39,942681.84
1988,736299.02,4000.0,1984887.55,451804.38,2038724.95,963714.05
1989,805779.15,4000.0,2224977.29,335040.74,2258023.08,1027782.67
1990,816026.22,4000.0,2491399.7,280645.96,2452219.54,955237.48
1991,766343.78,4000.0,2705782.49,421972.09,2758656.05,986560.27
1992,781134.78,4000.0,2937037.96,448809.46,2975603.31,1074653.75
1993,835201.96,4000.0,3231984.09,455327.92,3279878.71,1037509.56
1994,815720.34,4000.0,3567994.81,315277.35,3617404.56,1014567.15
