Business and Finance,Interest Rate,%
trend,stable_falling,exponential_falling,exponential_rising,volatile_rising,exponential_rising,periodic_stable
Year,Silverhaven Reserve Bank,Aethelgard Financial Exchange,Meridian Capital Market,Azure Central Bank,Zenith Stock Exchange,Stellar Futures Market
1980,3.52,3.51,3.36,3.74,3.61,3.4
1981,3.45,3.11,3.73,3.81,3.5,4.35
1982,3.7,2.6,3.99,4.12,4.32,3.99
1983,3.87,2.13,4.7,4.3,4.67,2.92
1984,3.68,2.46,5.13,4.7,5.37,2.59
1985,4.15,2.0,5.57,4.66,5.78,3.48
1986,4.37,1.91,6.35,5.2,6.32,4.25
1987,4.32,1.46,6.71,5.05,6.9,4.11
1988,4.3,1.43,7.34,5.55,7.41,2.97
1989,4.3,1.47,8.23,5.89,8.14,2.69
1990,4.36,1.38,8.71,6.0,8.99,3.63
1991,4.7,1.34,9.98,6.99,10.08,4.22
1992,4.86,0.97,10.93,6.39,10.85,3.99
1993,4.87,0.86,12.21,7.29,12.03,3.09
1994,5.24,0.47,13.08,7.06,13.52,2.71
