Education and Academics,Student-Teacher Ratio,ratio
Year,Borealis Graduate School,Celestial College,Meridian Academy,Zenith Institute of Technology
trend,periodic_stable,periodic_stable,periodic_stable,stable_rising
1995,20.01,19.98,20.14,20.57
1996,24.94,24.57,24.91,20.76
1997,22.87,22.61,22.96,22.11
1998,17.24,16.83,17.01,22.94
1999,15.52,14.94,15.29,23.38
2000,19.88,20.23,20.05,25.12
2001,24.98,24.59,24.9,26.28
2002,22.65,23.14,23.14,26.99
2003,16.84,17.04,17.02,28.15
2004,15.42,15.06,15.13,28.99
2005,19.8,19.89,20.12,29.98
2006,24.98,24.66,24.53,30.75
2007,23.2,23.22,22.63,31.85
2008,17.25,17.14,16.88,33.19
2009,15.32,15.15,15.17,33.7
2010,19.93,19.85,19.7,35.07
2011,24.44,24.55,24.9,36.66
2012,23.18,23.17,22.78,37.02
2013,17.17,17.16,17.08,38.08
