Education and Academics,Alumni Giving Rate,%
trend,stable_rising,volatile_falling,stable_falling,stable_rising,periodic_stable,stable_rising,exponential_rising
Year,Celestial College Graduates,Arcane University Alumni Association,Silverhaven Polytechnic Fund,Meridian Academy Patrons,Borealis Alumni Network,Aethelgard Arts Circle,Zenith Tech Foundation
1955,9.72,10.61,10.64,9.62,9.96,10.58,10.29
1956,10.08,8.44,9.8,9.71,11.97,11.01,11.15
1957,12.24,9.36,10.29,11.4,11.34,10.71,12.34
1958,11.73,8.65,10.64,13.36,8.5,11.67,12.84
1959,12.09,6.94,11.73,12.24,7.87,12.98,14.81
1960,13.38,7.54,11.19,12.11,9.67,13.3,16.29
1961,13.29,6.63,12.1,14.6,12.26,13.23,17.51
1962,13.63,5.73,12.05,13.83,11.72,13.53,18.28
1963,13.76,6.48,11.73,13.37,8.59,13.44,21.84
1964,14.15,4.23,12.71,14.53,7.49,14.2,23.4
