Human Resources and Employee Management,Employee Count,employees
trend,exponential_rising,exponential_rising,volatile_rising,volatile_falling,exponential_rising,stable_falling,exponential_falling
Year,Lumina Solutions,Skyward Systems,AstraCorp,Ironclad Industries,Zenith Enterprises,Verdant Ventures,Meridian Dynamics
1958,536.38,511.0,501.34,536.36,510.69,482.74,489.67
1959,583.99,558.83,594.19,490.85,560.2,550.74,468.38
1960,638.62,616.34,601.36,400.34,595.68,541.77,397.34
1961,647.86,675.25,627.75,424.97,622.57,515.45,353.38
1962,748.7,759.08,627.24,356.73,701.66,559.95,340.68
1963,813.56,796.37,720.91,327.28,779.67,562.34,248.1
1964,869.64,891.18,701.34,313.09,839.48,585.52,266.39
1965,953.97,939.51,791.13,295.56,1010.61,598.38,273.46
1966,1064.66,1068.04,795.69,241.71,1084.98,607.05,240.81
1967,1192.28,1165.87,854.6,279.87,1216.62,632.89,171.85
1968,1299.2,1309.59,887.55,161.62,1265.06,634.85,156.09
1969,1429.52,1382.25,891.53,181.11,1422.47,650.25,147.2
1970,1546.33,1541.97,1034.6,187.36,1597.34,650.8,106.73
1971,1743.57,1727.53,1009.77,109.9,1741.13,682.85,143.65
1972,1892.23,1933.82,1066.29,118.57,1912.44,716.87,157.91
1973,2085.15,2100.78,1048.56,46.87,2064.14,755.01,145.42
1974,2345.56,2297.98,1131.4,14.47,2311.65,730.7,89.23
1975,2526.4,2536.72,1204.43,5.0,2491.29,780.84,80.37
