Agriculture and Food Production,Organic Farming Area,hectares
Year,Sunstone Farms,Starfall Organics,Golden Harvest Cooperative
trend,volatile_rising,periodic_stable,exponential_falling
1976,1041.51,1007.09,1314.15
1977,932.17,1285.28,782.15
1978,1342.64,1191.95,982.18
1979,1059.06,748.0,661.92
1980,1382.38,856.5,959.57
1981,1276.97,1051.16,752.59
1982,1646.83,1301.25,602.8
1983,1981.07,1138.49,356.74
1984,1725.19,852.39,688.48
1985,1352.4,695.26,478.2
1986,1304.45,1011.34,113.01
1987,1833.44,1217.66,186.37
1988,1553.13,1134.41,186.36
1989,1955.01,691.49,55.67
1990,1770.33,780.62,345.19
1991,2159.57,1037.27,324.93
1992,2224.45,1123.75,460.31
