Sports and Entertainment,Stadium Attendance,tickets/session
trend,exponential_rising,volatile_rising,exponential_falling,exponential_rising
Year,Echo Bowl,Silverleaf Open,Aether Cup Finals,Nova Games
1961,54932.68,60886.62,56514.12,50744.21
1962,53278.1,53422.21,33825.55,52521.15
1963,58703.46,56766.96,40498.26,51588.26
1964,71363.59,48638.85,31784.63,65097.96
1965,80490.28,62043.84,35796.11,73312.48
1966,62945.61,66714.25,33284.28,74585.99
1967,84426.34,65701.72,30662.93,92140.35
1968,95196.65,83680.14,14832.82,91775.75
1969,122165.6,73910.43,28352.48,110389.07
1970,117099.48,83900.71,26421.6,111991.48
1971,127141.54,90523.58,20714.86,122064.52
1972,135765.31,98007.13,17900.32,141041.38
1973,159541.35,93962.37,19050.17,161267.88
1974,166608.39,117152.18,9073.3,171489.72
1975,189917.62,117315.19,10028.97,187133.13
1976,213143.4,109269.83,6671.45,207660.28
