Energy and Utilities,Electricity Demand,MWh
trend,volatile_falling,volatile_rising,stable_falling,exponential_rising,stable_falling,periodic_stable
Year,Stellar Grid Solutions,Borealis Electric Cooperative,Silverhaven Hydro Authority,Azure Energy Distribution,Meridian Energy Network,Zenith Utility Services
1991,894375299.53,1000804517.71,1015034393.72,969806651.39,937599643.94,1024527739.26
1992,999248104.74,1205426457.15,1062988388.7,1071908397.47,975165762.03,1255248332.55
1993,854502872.38,1182203600.61,1100704203.0,1224552269.47,1062313125.09,1158789722.65
1994,792252328.13,1366325588.87,1087836762.24,1354746743.58,1035377238.74,872656556.46
1995,922503367.37,1278265607.98,1096884058.83,1471969293.52,1144955170.55,766518392.45
1996,693189213.66,1453982830.47,1211010086.55,1625117975.58,1068008937.72,1012738102.41
1997,636899559.18,1517364446.77,1064667444.95,1747823583.48,1149153397.51,1234230539.37
1998,614573278.16,1377409651.25,1171681163.6,1894039231.17,1209594715.85,1108569716.81
1999,403654165.05,1770183792.13,1243400732.0,2138903592.14,1246871858.21,841197320.92
2000,461702489.58,1719609033.13,1244201896.43,2327504890.14,1348199994.66,740797744.83
2001,540933942.31,1584565972.29,1335895047.39,2593201033.92,1332744859.57,998946469.94
2002,260938070.12,1852771369.16,1345390360.32,2824407081.56,1349361043.63,1234134101.52
2003,408351022.43,1961376715.86,1262141774.0,3164516494.95,1438431332.97,1142524907.57
2004,163416149.97,2029600674.01,1364232241.68,3433482500.54,1325488163.24,886130547.93
2005,343900071.96,2141538150.21,1418268300.41,3789551169.55,1445388377.62,717107857.85
2006,218734782.11,2132190129.1,1420764983.23,4209289478.64,1533037060.2,1006818015.39
2007,10000000.0,2306493528.07,1554169958.32,4577632518.96,1479105506.22,1213358988.42
2008,10000000.0,2328023513.1,1460207344.83,5040575875.5,1563969307.64,1107895407.67
2009,10000000.0,2363549417.18,1574006545.73,5627258636.7,1501527462.34,875520401.86
2010,10000000.0,2510636219.68,1554066038.12,6070682421.45,1685389302.8,771918787.43
2011,10000000.0,2666908387.51,1631402963.9,6808850238.38,1678172647.02,1008661923.85
2012,10000000.0,2650404080.0,1615038308.38,7466586755.97,1522828335.95,1261340559.84
2013,10000000.0,2748566819.53,1694454908.84,8130113698.39,1671963667.7,1110365451.53
2014,10000000.0,2785250434.32,1601013938.8,9005772182.38,1671151320.0,827214571.22
2015,10000000.0,2971694434.71,1694708501.26,9865819945.97,1624873532.47,779553217.29
2016,10000000.0,2953796169.94,1777201144.6,10809892299.59,1691227430.77,946882334.14
2017,10000000.0,3106399696.86,1736950623.64,11914973637.13,1821537167.73,1276214787.3
2018,10000000.0,3142978154.05,1782219160.23,13029403796.59,1804146927.97,1115335577.79
2019,10000000.0,3197991856.21,1829602053.38,14565302894.87,1814562258.91,850408063.4
2020,10000000.0,3387170374.61,1744496273.96,15862392690.34,1851157539.02,746420591.48
