Retail and E-commerce,Inventory Turnover,times/year
Year,Fashion Depots,PrimeCart Warehouse,QuickDeliver Hubs
trend,volatile_rising,periodic_stable,exponential_falling
1995,4.15,5.69,5.57
1996,5.25,7.16,4.54
1997,7.97,7.1,4.81
1998,7.42,4.98,6.07
1999,8.11,4.4,5.58
2000,8.32,6.61,4.72
2001,7.27,8.09,3.07
2002,7.13,7.62,1.88
2003,10.23,5.32,1.79
2004,10.75,4.94,1.64
2005,11.09,5.74,2.09
2006,9.7,6.93,0.46
2007,11.81,6.6,0.74
2008,14.32,6.57,2.02
2009,12.06,5.18,0.7
2010,11.1,5.75,1.1
2011,13.46,7.15,1.23
2012,16.24,7.46,0.85
2013,15.6,4.47,1.82
