Science and Engineering,Publication Count,papers
trend,periodic_stable,stable_falling,periodic_stable,exponential_rising
Year,Oracle Labs,Luminara Academy,Starburst College,Echo Research
1966,100.42,72.72,100.56,96.55
1967,123.96,116.01,124.11,100.75
1968,120.17,107.68,118.57,136.53
1969,90.68,106.49,95.54,141.23
1970,76.74,115.07,74.38,136.27
1971,100.61,116.24,95.52,151.45
1972,128.06,110.47,124.46,187.57
1973,115.68,108.09,107.03,205.35
1974,81.07,125.14,85.89,227.95
1975,71.53,122.69,55.53,225.62
1976,93.48,141.95,105.96,260.72
1977,122.83,149.65,119.99,275.58
1978,115.06,143.58,111.54,325.06
1979,86.41,159.7,77.92,362.98
1980,76.39,154.26,71.15,357.43
1981,94.23,137.14,92.9,426.81
