Sports and Entertainment,Merchandise Sales,$
Year,Sapphire Entertainment,Starlight Merchandise,Aura Apparel
trend,volatile_rising,volatile_rising,exponential_rising
1983,1010081.57,1310769.65,1168011.02
1984,1250045.59,897345.86,1082563.78
1985,1628331.39,1026961.25,1156322.03
1986,1696638.08,1222085.86,1231453.43
1987,1247516.3,1612590.17,1311721.11
1988,1457967.83,934976.2,1438058.46
1989,1618977.62,1493248.15,1787504.49
1990,1645671.16,1900047.05,2156095.6
1991,1745537.54,1252894.21,1851046.34
