Real Estate and Housing Market,Rental Yield,%
Year,Oceanview Condos,Willow Creek Estates,Ironpeak Residences,Skyline Towers
trend,exponential_falling,stable_rising,stable_rising,stable_rising
1999,6.14,5.92,5.66,5.81
2000,5.31,5.96,6.7,6.33
2001,4.78,6.45,6.7,6.37
2002,4.09,7.1,7.0,7.27
2003,4.2,7.17,7.39,7.18
2004,3.28,7.35,6.91,7.14
2005,3.0,7.88,7.99,7.46
2006,2.88,8.1,8.16,7.82
2007,2.7,8.32,8.86,8.62
2008,2.18,8.43,8.65,8.62
2009,2.22,8.81,8.98,9.12
2010,1.87,8.99,9.28,9.33
2011,1.34,9.38,9.61,9.53
2012,1.81,10.25,9.67,10.15
2013,1.57,9.73,10.13,10.23
2014,1.31,10.05,10.49,10.32
2015,1.15,10.62,11.11,11.0
2016,1.2,11.13,11.14,11.34
2017,1.02,11.16,11.21,11.19
2018,0.76,11.88,11.99,12.01
2019,0.54,11.72,12.05,12.1
2020,0.36,12.32,12.44,12.52
2021,0.72,12.43,12.84,12.6
2022,0.55,12.96,13.0,12.62
2023,0.32,13.0,13.81,13.35
2024,0.46,13.26,12.94,13.33
