Agriculture and Food Production,Crop Yield,tons/hectare
trend,exponential_falling,exponential_falling,stable_falling,stable_falling,volatile_falling,periodic_stable,exponential_falling
Year,Sunstone Farms,Golden Harvest Cooperative,Misty Meadow Acres,Starfall Organics,Riverbend Plantation,Ironwood Ranch,Whispering Willows Estate
1961,105554.05,102797.54,108720.48,101837.93,115786.34,106495.57,107187.89
1962,85336.68,81290.58,86740.65,110238.82,101163.76,120858.23,85597.02
1963,79378.47,84401.27,116916.87,112625.26,83914.42,112776.44,83886.22
1964,69854.27,71253.47,121188.27,99161.54,80191.92,87642.25,66174.76
1965,67494.61,53240.59,116322.52,114607.68,77169.35,78492.57,73173.04
1966,68345.74,62037.48,116016.23,101982.02,69934.98,97255.62,54366.75
1967,49702.6,55141.75,115760.89,107640.35,60201.45,130147.2,69267.45
1968,43807.2,60502.25,126424.23,110710.37,55695.69,113090.87,41993.94
1969,34866.56,47130.04,118534.76,139494.37,61803.5,91952.78,39319.17
1970,37208.83,42570.8,121042.22,128541.32,39443.76,74143.73,48049.64
1971,33643.72,38535.39,124589.32,134673.1,40370.03,105908.75,37082.42
1972,22413.35,43156.91,147245.72,140234.73,1000.0,121053.35,48070.37
1973,24570.6,36536.03,129598.98,128610.8,28061.2,117775.28,38750.39
1974,33258.05,22293.68,139757.76,128841.99,22270.19,86376.48,26921.21
1975,24962.42,27480.79,146276.05,133117.13,31710.84,67976.62,25098.43
1976,30760.35,20577.95,141707.58,146097.76,16097.69,97201.96,19110.01
1977,18717.04,12439.25,154683.98,136050.12,1000.0,119284.06,14323.2
1978,7677.76,20588.71,156447.13,156007.86,1000.0,114259.0,23882.62
1979,14236.27,2198.67,151010.67,167290.15,1000.0,84905.84,21074.75
1980,14136.29,20438.62,164861.46,152934.93,1000.0,76842.28,9129.93
1981,5763.86,15553.29,155848.46,158564.33,1000.0,93907.24,8879.66
1982,19028.21,11389.13,164755.5,167227.99,1000.0,128290.85,6340.98
1983,1000.0,1000.0,176077.86,164008.12,1000.0,116245.79,6059.11
1984,13384.46,12593.64,154928.69,180767.07,1000.0,85831.69,3766.93
