Business and Finance,Debt to Equity Ratio,ratio
trend,volatile_rising,volatile_falling,periodic_stable,volatile_rising
Year,NovaTech Solutions,Vanguard Dynamics,Horizon Enterprises,Ironclad Ventures
1955,0.51,0.53,0.51,0.52
1956,0.55,0.44,0.63,0.55
1957,0.62,0.42,0.58,0.64
1958,0.72,0.4,0.41,0.6
1959,0.58,0.39,0.37,0.73
1960,0.62,0.37,0.5,0.65
1961,0.73,0.4,0.61,0.73
1962,0.75,0.29,0.58,0.79
1963,0.88,0.24,0.43,0.81
1964,0.88,0.22,0.38,0.84
1965,0.92,0.23,0.49,0.91
1966,0.99,0.19,0.63,0.89
1967,0.9,0.11,0.58,1.03
1968,1.09,0.13,0.42,1.05
1969,1.06,0.1,0.38,1.07
1970,1.11,0.05,0.5,1.08
1971,1.15,0.05,0.62,1.14
1972,1.14,0.01,0.57,1.14
1973,1.29,0.01,0.44,1.25
