Energy and Utilities,Natural Gas Prices,$/cubic meter
trend,exponential_falling,stable_falling,stable_rising,stable_rising
Year,SkyFlow Water Index,Zephyr Gas Index,Lumina Energy Market,TerraFuel Exchange
1952,2.15,1.95,1.91,2.04
1953,1.66,2.05,2.13,2.28
1954,1.65,2.11,2.19,2.33
1955,1.27,2.35,2.49,2.14
1956,1.27,2.2,2.6,2.27
1957,1.31,2.28,2.37,2.65
1958,0.93,2.26,2.58,2.89
1959,0.98,2.42,2.61,2.67
1960,0.92,2.49,2.8,2.88
1961,0.79,2.53,2.74,3.05
1962,0.87,2.71,3.01,3.13
1963,0.77,2.77,3.06,3.21
1964,0.6,2.56,3.18,3.06
1965,0.43,2.73,3.1,3.05
1966,0.71,2.86,3.46,3.54
1967,0.44,2.98,3.31,3.64
