Science and Engineering,Engineering Graduates,students
Year,Nova Institute,Aether University,Oracle Labs,Crimson Foundation,Echo Research
trend,periodic_stable,volatile_rising,stable_falling,periodic_stable,exponential_rising
1952,991.48,1171.82,1109.56,967.3,891.18
1953,1228.08,1012.76,972.14,1234.27,1000.13
1954,1096.79,1179.75,1041.69,1158.53,1232.27
1955,858.18,1126.76,1089.35,866.79,1297.31
1956,770.37,1490.57,1109.29,780.55,1451.31
1957,1018.05,1373.41,1110.27,1042.97,1637.41
1958,1277.72,1490.96,1276.57,1238.3,1754.41
1959,1105.96,1729.08,1153.33,1121.16,1953.24
1960,904.08,1613.93,1156.84,829.79,2066.85
