Tourism and Hospitality,Hotel Occupancy Rate,%
Year,Eco Lodges,Boutique Inns,Luxury Resorts,Budget Motels,Business Hotels
trend,stable_rising,periodic_stable,exponential_rising,periodic_stable,stable_falling
1961,69.26,74.24,84.84,74.24,68.21
1962,63.83,90.94,49.63,93.61,70.31
1963,73.87,82.04,91.84,81.37,97.43
1964,82.53,64.78,90.45,67.73,86.46
1965,73.06,53.84,95.97,54.01,92.57
1966,92.51,85.56,100,73.05,80.9
1967,95.32,94.55,100,93.09,93.12
1968,100,93.19,100,87.48,100
1969,92.58,70.21,100,74.84,84.43
1970,100,57.18,100,60.78,94.7
1971,100,84.33,100,74.38,100
1972,100,93.12,100,93.1,94.11
1973,100,90.97,100,88.17,100
1974,100,61.42,100,61.2,100
1975,100,57.15,100,62.65,99.88
1976,100,66.5,100,65.43,100
1977,100,87.22,100,85.81,100
1978,100,92.97,100,93.47,100
1979,100,63.52,100,58.47,100
1980,100,52.49,100,58.83,100
1981,100,73.49,100,76.34,100
1982,100,86.85,100,84.58,100
1983,100,88.88,100,84.36,100
