Food and Beverage Industry,Average Order Value,$
Year,Premium Delivery,Breakfast Rush Order,Seasonal Special Order
trend,volatile_rising,exponential_rising,stable_rising
1977,29.68,30.44,27.04
1978,34.82,29.2,31.69
1979,32.87,38.57,32.2
1980,38.4,40.47,35.22
1981,36.9,45.79,36.35
1982,43.79,49.67,35.7
1983,42.33,54.25,38.59
1984,47.5,57.92,40.47
1985,49.65,65.36,40.02
1986,51.28,70.13,45.34
1987,48.64,78.9,42.06
1988,57.8,85.28,46.23
1989,59.73,94.86,47.17
1990,60.73,104.63,49.02
1991,60.76,114.61,50.21
1992,68.25,125.78,51.81
1993,67.43,136.86,52.89
1994,69.25,149.81,55.47
1995,70.63,165.25,56.83
1996,69.6,185.27,59.12
1997,78.12,201.56,59.46
1998,77.96,218.26,60.47
1999,82.56,246.61,66.02
2000,86.02,267.42,62.56
2001,89.63,295.65,65.69
2002,88.87,325.21,67.33
2003,90.93,359.59,68.02
2004,98.77,393.68,70.18
