Cultural Trends and Influences,Cultural Event Funding,$
trend,periodic_stable,volatile_falling,stable_falling
Year,Azure Creative Trust,Borealis Artistic Grants,Meridian Heritage Fund
1983,51346470.62,39962053.7,44035155.67
1984,66201680.57,44049026.52,52729402.52
1985,61068262.73,47827409.95,63564453.65
1986,45849654.79,24256402.27,56923286.0
1987,36936375.8,60217949.24,48231206.28
1988,46657287.38,30409108.12,81542711.32
1989,59882805.18,32901542.46,53241805.16
1990,54629244.68,15272469.5,59134807.35
1991,44422210.21,36647431.45,63471701.34
1992,41360059.9,22456694.21,41985233.27
1993,44880770.5,30061001.22,71108338.45
1994,61466553.53,10302776.57,67022876.22
1995,63215773.4,23097150.29,60445237.34
1996,42760825.27,500000.0,56965307.39
1997,43689254.62,19339796.89,73104912.35
1998,47208801.97,500000.0,72374634.65
1999,56762090.24,500000.0,91504411.11
2000,57009990.78,500000.0,82267414.31
2001,45187975.11,500000.0,65528102.62
2002,33205685.9,16818714.9,81501710.48
