Real Estate and Housing Market,Price Index,index
trend,exponential_rising,volatile_rising,exponential_rising,stable_falling,stable_rising,stable_rising,stable_falling
Year,Nova Exchange,Ironwood Market,Echo Trade,Crimson Bazaar,Starfall Mart,Silverleaf Emporium,Aether Market
1952,158.51,151.18,139.19,143.24,144.14,161.19,156.25
1953,159.0,174.16,167.61,155.07,153.0,157.12,144.92
1954,177.07,186.33,179.85,156.81,164.71,167.58,150.59
1955,206.56,169.16,212.05,165.03,170.74,165.98,165.7
1956,234.99,209.65,213.8,165.19,190.59,190.37,169.17
1957,236.42,175.16,247.55,187.58,172.23,179.37,185.47
1958,264.64,234.76,255.65,184.42,212.64,184.52,180.37
1959,294.07,249.35,306.7,190.52,208.75,195.38,193.13
1960,329.65,238.54,329.87,198.67,212.3,214.46,177.95
1961,345.9,267.2,340.24,190.09,203.38,219.66,190.1
1962,378.49,290.12,377.24,205.21,222.87,227.09,184.21
1963,434.36,287.03,427.74,199.1,220.45,232.37,204.82
1964,467.46,277.65,477.93,212.32,240.79,240.29,194.34
1965,532.32,348.0,527.27,197.64,266.5,255.63,199.95
1966,565.14,312.07,561.09,217.43,268.65,257.67,216.63
1967,609.28,325.87,630.4,227.41,264.37,269.48,217.9
1968,694.32,348.33,699.89,215.59,264.39,275.22,225.21
1969,757.75,356.7,755.69,214.36,287.84,275.41,232.74
1970,842.73,335.88,835.0,225.23,296.53,282.06,218.08
1971,914.57,364.78,910.3,234.97,287.15,293.07,241.08
1972,1004.99,390.87,995.49,239.97,287.3,299.5,219.85
1973,1095.78,403.87,1095.58,235.14,331.11,303.1,238.25
1974,1209.68,422.99,1217.89,253.0,311.14,311.88,262.57
1975,1351.54,413.85,1343.76,250.62,313.92,323.39,257.65
1976,1483.42,437.08,1473.23,257.28,322.44,341.21,249.77
1977,1628.03,457.81,1610.61,272.57,341.88,320.2,258.35
1978,1786.01,467.35,1772.31,246.36,358.67,338.11,257.29
1979,1957.24,469.64,1979.13,268.25,357.79,355.85,272.81
1980,2166.86,490.24,2170.61,275.41,352.81,349.84,269.54
