Agriculture and Food Production,Food Waste,tons
trend,exponential_rising,volatile_falling,volatile_rising,stable_rising,stable_falling,exponential_rising,volatile_rising
Year,TerraTrade Network,AgriFlow Solutions,CropConnect Logistics,Verdant Distribution,AgroChain Management,HarvestLink Systems,FarmGate Transit
1966,9869.26,10232.02,9889.97,9933.93,9930.98,10043.25,10075.81
1967,10979.9,8770.75,10752.61,10328.11,10341.17,11376.21,10997.76
1968,12102.47,8963.3,12022.09,10756.26,10462.02,11514.15,10934.9
1969,13600.71,7570.37,12837.98,11283.94,10935.81,14151.79,11646.3
1970,14421.58,8478.66,13304.7,11999.31,10785.12,14665.27,12890.16
1971,16083.83,6915.6,13772.74,12070.99,12385.03,16097.41,13334.18
1972,16929.36,6428.96,14141.98,13592.76,12116.76,17497.4,15973.36
1973,19308.58,5686.7,15750.98,13834.84,11702.01,19548.82,16119.74
1974,21169.86,4990.11,16253.89,14197.03,12097.32,21612.72,16246.95
1975,24044.52,4114.28,16308.51,14715.73,12718.27,23363.63,16741.16
1976,26277.61,3808.09,17909.16,15142.58,13448.82,26281.19,17466.61
1977,28709.46,3573.88,18358.33,15514.76,13532.87,28095.29,18014.78
1978,30730.18,3709.83,20691.02,16646.33,13902.73,31148.67,18833.32
1979,34417.32,2199.89,20487.55,15892.48,14131.73,33978.38,20795.65
1980,37577.0,739.35,21217.86,16640.88,13940.25,37473.37,21106.24
1981,42131.67,789.83,22978.55,17392.09,14408.48,41489.66,21086.97
1982,44907.96,645.35,22493.81,17506.91,14153.98,46437.92,23129.27
1983,50020.41,299.91,23578.24,18431.01,14249.65,50285.9,23521.9
1984,56028.64,100.0,24469.55,19662.47,14770.01,55654.11,24230.38
1985,60893.22,100.0,25433.57,18953.77,15852.79,61163.6,26216.73
1986,68001.81,100.0,25312.69,19640.86,16003.79,67599.93,26810.77
1987,74378.39,100.0,27471.22,20377.62,16208.23,73537.05,27001.1
1988,82303.06,100.0,28424.87,20513.54,16583.56,80491.77,27655.86
1989,89924.49,100.0,28924.0,21642.88,17728.86,89752.4,29086.05
1990,98487.0,100.0,28781.47,21776.15,17344.68,98360.09,29750.16
1991,108477.11,100.0,30543.06,22506.5,16616.95,108208.08,29142.02
1992,119135.99,100.0,30617.88,23160.83,18452.06,119677.69,30888.46
1993,131461.37,100.0,32560.26,24125.71,18218.33,130951.1,31124.16
1994,144180.17,100.0,32172.02,24176.06,18212.9,143755.41,32496.9
1995,159075.44,100.0,33628.94,23671.79,19212.55,158538.92,32193.56
