Tourism and Hospitality,Loyalty Program Members,members
trend,volatile_rising,volatile_falling,volatile_falling,exponential_falling,periodic_stable,periodic_stable
Year,Family Vacationers,Business Nomads,Global Travelers Club,Adventure Seekers,Foodie Passport,Frequent Flyers
1970,1112776.29,996945.09,789191.73,759454.15,992811.33,995269.97
1971,561846.7,955605.76,898118.52,1045474.58,1394545.16,1237819.12
1972,1309122.67,1298943.35,876578.64,950197.3,1127604.82,1215387.91
1973,913040.43,634257.44,1048333.7,925683.87,997712.98,930650.33
1974,1714195.22,1184034.7,493526.25,451770.5,661881.26,815176.54
1975,1137643.27,1045378.42,737763.29,886527.21,1189612.38,1135589.6
1976,1008477.97,771621.18,277546.25,613810.96,1273039.09,1182580.39
1977,1792182.9,772840.81,692936.68,437069.54,1254770.58,1198439.8
1978,1996221.99,608572.69,545929.66,598038.69,836399.67,654255.72
1979,1641462.49,684135.9,703269.01,450736.35,677849.99,681483.14
1980,1567762.55,454372.59,570681.55,490947.15,1097388.26,908254.99
1981,1703957.66,399580.18,379909.8,10000.0,1220064.66,1234565.73
1982,1731824.33,152672.17,101215.92,378016.65,925441.8,1002486.28
1983,1813903.51,37781.52,511565.14,151883.18,809420.93,942322.27
1984,2181917.2,10000.0,66194.56,196463.59,628831.57,869196.19
1985,2643061.26,10000.0,10000.0,387045.73,748737.97,1112656.74
1986,2140732.4,236720.31,113753.64,239028.74,1225511.85,1203564.81
1987,2398865.72,10000.0,393190.63,20133.14,1125291.51,1069132.16
1988,2515956.77,10000.0,10000.0,71549.47,911462.15,871016.94
1989,2669597.3,16024.63,10000.0,138317.38,811666.32,673905.86
1990,2865343.25,22357.18,10000.0,152135.38,1026589.11,1117817.3
1991,2900111.45,10000.0,10000.0,10000.0,1082988.75,1204717.34
