Real Estate and Housing Market,Housing Affordability Index,index
Year,Veridian Plains,Azure Coast,Sunstone Desert,Shadowfen,Silverwood Forest,Crimson Peaks
trend,stable_rising,periodic_stable,periodic_stable,stable_rising,volatile_rising,volatile_falling
1995,101.49,99.95,98.56,97.06,116.92,103.28
1996,98.99,121.27,120.69,110.42,106.64,89.02
1997,116.35,116.62,112.38,111.2,95.04,93.49
1998,107.74,87.58,83.5,117.4,126.79,86.73
1999,124.84,71.96,76.46,123.08,146.43,67.35
2000,127.8,98.93,101.83,120.36,132.1,67.29
2001,131.38,127.41,126.03,118.41,151.32,56.81
2002,132.86,113.59,114.03,130.06,155.93,58.82
2003,139.63,90.3,88.5,144.94,165.51,53.85
2004,151.23,74.9,77.45,147.43,175.91,48.99
2005,157.41,97.66,100.37,155.72,180.64,62.23
2006,148.47,122.64,124.55,154.66,206.39,22.94
2007,163.73,113.56,112.84,154.15,189.93,31.98
2008,156.7,83.68,85.35,162.89,203.18,18.77
2009,172.89,72.36,76.47,168.73,215.17,13.83
2010,179.21,100.39,99.46,173.74,216.23,5.54
2011,177.6,126.07,126.16,187.6,226.8,1.0
2012,174.8,111.57,116.7,182.0,243.29,14.74
2013,186.68,88.84,86.68,190.08,242.78,1.0
2014,200.44,79.57,73.86,195.82,251.96,1.0
2015,203.32,102.63,98.86,202.66,267.59,1.0
2016,207.07,117.97,121.19,196.41,266.02,1.0
2017,208.63,116.71,115.22,213.49,273.72,1.0
