Retail and E-commerce,In-Store Foot Traffic,visitors/day
trend,stable_falling,exponential_rising,stable_falling,exponential_falling,stable_rising
Year,Outlet Centers,Neighborhood Stores,Pop-Up Shops,Tech Gadget Hubs,Fashion Boutiques
1957,10374.44,21491.48,21856.65,17601.98,28505.45
1958,17315.25,18020.57,14925.79,14311.43,23401.46
1959,22650.12,21368.65,24220.0,20419.41,20212.44
1960,24327.38,24945.0,18992.85,9689.21,25965.37
1961,18641.3,31678.37,19900.84,12340.47,19007.12
1962,29720.42,34315.27,23906.25,9264.49,23305.83
1963,17391.8,35186.65,21926.67,9687.92,19681.85
1964,28692.65,42130.83,17575.26,10978.08,26610.17
1965,26163.26,43024.25,21175.0,5534.1,27125.2
1966,22493.14,43109.96,18101.32,7092.24,34786.5
1967,21435.51,55126.31,27488.17,8387.94,29173.81
1968,24040.6,59941.13,28199.37,7262.99,30167.07
1969,29981.93,64431.24,26156.83,2254.52,35355.75
1970,24692.68,65457.84,27688.15,4584.27,37514.86
1971,28358.0,68781.64,24056.79,12356.97,36197.61
1972,31681.04,82578.88,31058.41,6771.25,35026.92
1973,27869.14,88151.52,32116.5,7014.81,31233.33
1974,29662.41,98418.6,26655.53,4564.46,38373.05
1975,27924.93,110432.0,32290.79,649.58,35090.82
1976,32113.07,123630.09,26957.63,6742.98,44521.76
1977,40482.65,127484.12,29743.55,4303.47,43378.11
1978,31755.07,147416.33,37269.36,200.0,39247.55
