Agriculture and Food Production,Livestock Production,tons
trend,periodic_stable,periodic_stable
Year,Golden Harvest Cooperative,Ironwood Ranch
1975,49702.85,49082.01
1976,61185.43,62461.66
1977,59979.83,56653.67
1978,45361.3,43782.26
1979,37920.03,37074.65
1980,48941.93,48812.49
1981,61963.49,61528.99
1982,58833.75,56730.31
1983,41347.94,42876.83
1984,37057.18,34248.78
1985,47627.75,50136.83
1986,64087.46,60262.0
1987,57562.07,57378.78
1988,41153.62,41111.25
1989,40869.92,37354.22
1990,48670.74,49611.79
