Energy and Utilities,Renewable Energy Production,MWh
Year,Sunstone Solar Farm,Riverbend Hydro Station,Azure Tide Energy,Verdant Biomass Facility,Stellar Wind Array,GeoThermal Bloom Plant,Windwhisper Turbine Park
trend,volatile_falling,stable_rising,exponential_falling,volatile_falling,volatile_rising,exponential_falling,stable_rising
1991,40502569.54,108569663.36,110819979.48,95802184.94,108026240.94,111349384.62,111141883.25
1992,156998689.32,89722591.94,88773775.44,63036860.64,101414562.11,96623938.58,118567134.06
1993,43811768.84,64996782.39,88404815.89,84245972.01,81880710.42,87367256.61,124871934.12
1994,98421437.41,109899563.77,74424608.51,58707627.39,148742984.34,75892233.03,112234795.22
1995,92104998.11,107889557.19,96757684.57,86020827.41,122576641.78,53368747.99,117325186.64
1996,104645474.1,138532119.61,45966353.35,70442924.69,140986739.72,56295695.8,135147674.97
1997,94240762.17,121500788.55,73115833.46,94113921.96,142022436.35,35408481.24,138200402.21
1998,58740526.44,117707533.94,49349870.59,45726661.39,171876804.35,65684670.42,151598091.14
1999,68759884.37,171476209.98,53065833.95,51415033.87,100908090.01,60920422.2,156169088.27
