Food and Beverage Industry,Food Cost Percentage,%
trend,exponential_rising,stable_falling,volatile_rising,volatile_falling,periodic_stable
Year,The Golden Spoon,Emerald Diner,Crimson Plate,Sky High Cafe,The Rusty Kettle
1961,28.64,30.27,28.24,30.01,29.76
1962,32.07,30.84,32.45,29.41,37.17
1963,36.79,32.91,34.03,25.52,33.7
1964,42.41,33.22,35.08,24.75,25.96
1965,42.88,33.92,41.95,24.55,23.08
1966,50.07,33.6,42.56,20.78,30.23
1967,52.99,35.9,43.26,17.32,36.97
1968,59.16,36.72,49.87,18.45,35.09
1969,63.06,37.34,50.24,14.62,25.41
1970,69.79,38.46,52.68,11.87,22.36
1971,78.46,38.32,53.11,10.62,29.84
1972,82.63,39.52,54.48,8.71,36.43
1973,94.11,41.26,59.16,8.65,34.66
1974,100,41.22,64.42,7.9,24.92
1975,100,42.35,64.3,8.04,23.3
1976,100,42.46,69.28,4.31,30.27
1977,100,43.01,66.4,0.42,36.55
1978,100,45.78,69.83,0.3,33.41
1979,100,47.56,72.7,0.3,25.75
1980,100,46.74,72.34,0.3,23.01
1981,100,48.35,75.65,0.3,30.48
1982,100,50.07,77.91,0.3,37.32
1983,100,51.04,84.08,0.3,33.95
1984,100,50.42,84.63,0.3,24.32
1985,100,52.04,87.15,0.3,22.58
1986,100,51.4,89.92,0.3,29.07
1987,100,54.71,91.76,0.3,37.03
