Tourism and Hospitality,Restaurant Reservations,reservations/week
trend,periodic_stable,exponential_rising,exponential_falling,stable_rising,volatile_rising,exponential_rising
Year,Family Restaurants,Fine Dining,Fusion Kitchens,Rooftop Bars,Casual Eateries,Vegan Cafes
1991,1107.98,1232.15,1347.84,724.63,1107.4,1637.19
1992,1392.6,851.37,1209.48,1053.75,663.84,1368.18
1993,1237.93,1184.4,974.37,854.63,1152.26,1249.41
1994,811.23,1366.56,733.89,1529.03,1356.95,1531.99
1995,617.0,1674.52,533.79,1547.04,1681.82,951.41
1996,895.07,1562.19,620.41,1409.14,1824.79,1436.81
1997,1053.84,1733.82,638.19,1280.65,493.87,1856.31
1998,933.93,1676.66,840.81,1138.38,1303.34,2123.5
1999,863.76,1968.86,628.05,1209.8,1487.03,2220.9
2000,730.12,2391.74,655.0,1708.99,2085.65,2431.65
2001,834.92,2521.79,470.5,1148.55,2174.07,2574.25
2002,1050.86,2286.03,674.41,1431.17,1781.45,2745.9
2003,1103.87,3273.24,10.0,1474.47,1825.64,3140.17
2004,792.02,3299.24,476.03,1738.65,2019.19,3969.53
2005,1066.03,3495.92,10.0,1500.09,2777.86,3523.01
2006,849.97,4132.19,213.52,1711.2,2117.69,3790.97
2007,1358.18,4243.17,317.8,1374.33,3016.54,5078.73
2008,1099.89,4690.11,432.29,2215.03,2690.41,5296.43
2009,871.57,6132.41,391.97,1842.58,2900.77,5705.06
2010,645.02,6113.2,10.0,1689.92,3013.07,5695.48
2011,988.65,6987.11,111.49,2121.57,3267.14,7026.55
2012,1002.9,7492.08,434.53,2006.15,2375.23,7363.47
2013,1007.15,8602.18,10.0,2305.84,2917.67,8178.67
2014,858.84,8869.06,140.39,2060.25,2892.04,8973.93
2015,593.93,9844.92,338.91,1982.23,3125.2,9715.92
2016,984.35,10682.2,423.83,2473.88,2864.72,10422.48
2017,1140.19,12105.7,40.21,2510.89,2952.4,12063.21
2018,1217.2,12806.83,10.0,2287.01,2880.62,13667.88
