Real Estate and Housing Market,Mortgage Rate,%
trend,volatile_falling,volatile_rising,periodic_stable,stable_falling
Year,Aura Finance,Horizon Funding,Apex Credit,Sapphire Loans
1983,4.09,4.38,4.13,4.05
1984,3.87,4.41,5.02,4.08
1985,3.55,4.53,4.61,4.35
1986,3.28,4.68,3.47,4.3
1987,2.99,5.6,3.1,4.43
1988,2.81,5.69,3.94,4.75
1989,2.32,5.95,5.01,4.9
1990,2.14,5.98,4.58,4.87
1991,2.23,6.61,3.45,4.89
1992,1.83,7.08,2.97,4.9
1993,1.76,6.63,4.03,5.28
1994,1.58,7.56,4.87,5.53
1995,1.11,7.32,4.5,5.22
1996,0.9,8.31,3.48,5.42
1997,0.46,8.39,3.14,5.79
1998,0.66,8.7,4.06,5.91
1999,0.14,9.29,4.9,5.87
2000,0.04,9.44,4.69,6.02
2001,0.04,9.74,3.31,6.03
