Transportation and Logistics,Vehicle Maintenance Cost,$/month
trend,stable_falling,periodic_stable,periodic_stable,stable_falling
Year,Cold Storage Vans,Heavy Machinery,Railway Cars,Aircraft Engines
1953,1626.18,1428.96,1510.08,1232.6
1954,1478.54,1905.72,1888.03,1560.99
1955,1420.86,1728.66,1638.33,1669.23
1956,1492.73,1261.91,1312.37,1470.04
1957,1498.54,1289.85,1090.87,1418.76
1958,1657.88,1400.44,1517.73,1784.65
1959,1652.0,1913.2,1878.87,2142.53
1960,1833.85,1799.78,1647.81,1361.11
1961,1810.2,1236.95,1275.2,1557.49
1962,1901.27,987.52,1195.35,1744.0
1963,1903.29,1425.55,1341.94,2086.67
1964,2041.45,1862.15,1654.47,2162.55
1965,2179.24,1777.34,1681.24,1875.98
